condition	sample
Fibroblast	SRR3743417
Fibroblast	SRR3743418
Fibroblast	SRR3743419
Fibroblast	SRR3743420
Fibroblast	SRR3743421
Fibroblast	SRR3743422
Fibroblast	SRR3743423
Fibroblast	SRR3743424
Fibroblast	SRR3743425
Fibroblast	SRR3743426
Fibroblast	SRR3743427
Fibroblast	SRR3743428
Fibroblast	SRR3743429
Fibroblast	SRR3743430
Fibroblast	SRR3743431
Fibroblast	SRR3743432
Fibroblast	SRR5297087
Fibroblast	SRR5297088
Fibroblast	SRR5297089
Fibroblast	SRR5297090
Fibroblast	SRR5297091
Fibroblast	SRR5297092
Fibroblast	SRR5297093
Fibroblast	SRR5297094
Fibroblast	SRR5297095
Fibroblast	SRR5297096
Fibroblast	SRR5297097
Fibroblast	SRR5297098
Fibroblast	SRR5297101
Fibroblast	SRR5297102
Fibroblast	SRR5297103
Fibroblast	SRR5297104
Fetal_Lung_Fibroblast	SRR2989057
Fetal_Lung_Fibroblast	SRR2989058
Fetal_Lung_Fibroblast	SRR2989059
Fetal_Lung_Fibroblast	SRR2989060
Fetal_Lung_Fibroblast	SRR2989061
Fetal_Lung_Fibroblast	SRR2989062
Fetal_Lung_Fibroblast	SRR2989063
Fetal_Lung_Fibroblast	SRR2989064
Fetal_Lung_Fibroblast	SRR2989065
Fetal_Lung_Fibroblast	SRR2989066
Fetal_Lung_Fibroblast	SRR2989067
Fetal_Lung_Fibroblast	SRR2989068
Fetal_Lung_Fibroblast	SRR2989069
Fetal_Lung_Fibroblast	SRR2989070
Fetal_Lung_Fibroblast	SRR2989071
Fetal_Lung_Fibroblast	SRR2989072
Fetal_Lung_Fibroblast	SRR2989073
Fetal_Lung_Fibroblast	SRR2989074
Fetal_Lung_Fibroblast	SRR2989075
Fetal_Lung_Fibroblast	SRR2989076
Fetal_Lung_Fibroblast	SRR2989077
Fetal_Lung_Fibroblast	SRR2989078
Fetal_Lung_Fibroblast	SRR2989079
Fetal_Lung_Fibroblast	SRR2989080
Fetal_Lung_Fibroblast	SRR2989081
Fetal_Lung_Fibroblast	SRR2989082
Fetal_Lung_Fibroblast	SRR2989083
Fetal_Lung_Fibroblast	SRR2989084
Fetal_Lung_Fibroblast	SRR2989085
Fetal_Lung_Fibroblast	SRR2989086
Fetal_Lung_Fibroblast	SRR2989087
Fetal_Lung_Fibroblast	SRR2989088
Fetal_Lung_Fibroblast	SRR2989089
Fetal_Lung_Fibroblast	SRR2989090
Fetal_Lung_Fibroblast	SRR2989091
Fetal_Lung_Fibroblast	SRR2989092
iPSC	SRR6325533
iPSC	SRR6325534
iPSC	SRR6325535
iPSC	SRR6325536
iPSC	SRR6325537
iPSC	SRR6325538
iPSC	SRR6325539
iPSC	SRR5956447
iPSC	SRR5956448
iPSC	SRR5956449
iPSC	SRR5956450
iPSC	SRR5956451
iPSC	SRR5956452
Induced_pluripotent_stem_cells	SRR8314916
Induced_pluripotent_stem_cells	SRR8314917
Induced_pluripotent_stem_cells	SRR8314918
Induced_pluripotent_stem_cells	SRR8314974
Induced_pluripotent_stem_cells	SRR8314975
Induced_pluripotent_stem_cells	SRR8314976
human_embryonic_stem_cells	SRR5453682
Fibroblast_line_1	SRR7866687
Fibroblast_line_1	SRR7866688
Fibroblast_line_1	SRR7866699
Fibroblast_line_1	SRR7866700
Fibroblast_line_1	SRR7866701
Fibroblast_line_1	SRR7866702
Fibroblast_line_1	SRR7866703
Fibroblast_line_1	SRR7866704
Fibroblast_line_1	SRR7866705
Fibroblast_line_1	SRR7866706
Fibroblast_line_2	SRR7866689
Fibroblast_line_2	SRR7866690
H9_ESCs	SRR3647178
H9_ESCs	SRR3647179
H9_ESCs	SRR3647180
H9_ESCs	SRR3647181
H9_ESCs	SRR3647182
H9_ESCs	SRR3647183
H9_ESCs	SRR3647184
H9_ESCs	SRR3647185
embryonic_stem_cells	SRR1203776
embryonic_stem_cells	SRR1203777
embryonic_stem_cells	SRR1203778
embryonic_stem_cells	SRR1203779
embryonic_stem_cells	SRR1203780
embryonic_stem_cells	SRR1203781
embryonic_stem_cells	SRR1203782
embryonic_stem_cells	SRR1203783
embryonic_stem_cells	SRR1203784
embryonic_stem_cells	SRR1203785
embryonic_stem_cells	SRR1203786
embryonic_stem_cells	SRR1203787
Human_pluripotent_stem_cell_line	SRR8385480
Human_pluripotent_stem_cell_line	SRR8385488
Human_pluripotent_stem_cell_line	SRR8385489
Human_pluripotent_stem_cell_line	SRR8385493
Human_pluripotent_stem_cell_line	SRR8385496
Human_pluripotent_stem_cell_line	SRR8385497
Human_pluripotent_stem_cell_line	SRR8385498
Human_pluripotent_stem_cell_line	SRR8385499
Human_pluripotent_stem_cell_line	SRR8385500
Human_pluripotent_stem_cell_line	SRR8385481
Human_pluripotent_stem_cell_line	SRR8385482
Human_pluripotent_stem_cell_line	SRR8385483
Human_pluripotent_stem_cell_line	SRR8385484
Human_pluripotent_stem_cell_line	SRR8385485
Human_pluripotent_stem_cell_line	SRR8385486
Human_pluripotent_stem_cell_line	SRR8385487
Human_pluripotent_stem_cell_line	SRR8385490
Human_pluripotent_stem_cell_line	SRR8385491
Human_pluripotent_stem_cell_line	SRR8385492
Human_pluripotent_stem_cell_line	SRR8385494
Human_pluripotent_stem_cell_line	SRR8385495
Human_pluripotent_stem_cell_line	SRR8385501
H9_ES_cells	SRR3933199
H9_ES_cells	SRR3933200
H9_ES_cells	SRR3933201
Human_ESC	SRR5675916
Human_ESC	SRR5675917
Human_ESC	SRR5675918
Human_ESC	SRR5675919
human-induced_pluripotent_stem_cell_HiPSC	SRR10894924
human-induced_pluripotent_stem_cell_HiPSC	SRR10894925
human-induced_pluripotent_stem_cell_HiPSC	SRR10894926
human-induced_pluripotent_stem_cell_HiPSC	SRR10894927
human-induced_pluripotent_stem_cell_HiPSC	SRR10894928
human-induced_pluripotent_stem_cell_HiPSC	SRR10894929
human-induced_pluripotent_stem_cell_HiPSC	SRR10894930
human-induced_pluripotent_stem_cell_HiPSC	SRR10894931
human-induced_pluripotent_stem_cell_HiPSC	SRR10894932
human-induced_pluripotent_stem_cell_HiPSC	SRR10894933
human-induced_pluripotent_stem_cell_HiPSC	SRR10894934
human-induced_pluripotent_stem_cell_HiPSC	SRR10894935
human-induced_pluripotent_stem_cell_HiPSC	SRR10894936
human-induced_pluripotent_stem_cell_HiPSC	SRR10894937
human-induced_pluripotent_stem_cell_HiPSC	SRR10894938
human-induced_pluripotent_stem_cell_HiPSC	SRR10894939
Astrocyte	SRR9610957
Astrocyte	SRR9610958
Astrocyte	SRR9610959
Astrocyte	SRR9610960
Astrocyte	SRR9610961
Astrocyte	SRR9610962
Astrocyte	SRR9610963
Astrocyte	SRR9610964
Astrocyte	SRR9610965
Astrocyte	SRR9610966
Astrocyte	SRR9610967
Astrocyte	SRR9610968
Astrocyte	SRR9610969
Astrocyte	SRR9610970
Astrocyte	SRR9610971
Astrocyte	SRR9610972
Astrocyte	SRR9610973
Astrocyte	SRR9610974
Astrocyte	SRR9610975
Astrocyte	SRR9610976
Astrocyte	SRR9610977
Astrocyte	SRR9610978
Astrocyte	SRR9610979
Astrocyte	SRR9610980
iPS_Cell	SRR8801835
iPS_Cell	SRR8801836
iPS_Cell	SRR8801837
iPS_Cell	SRR8801838
iPS_Cell	SRR8801839
iPS_Cell	SRR8801840
iPS_Cell	SRR8801841
iPS_Cell	SRR8801842
iPS_Cell	SRR8801843
Induced_pluripotent_stem_cells_cell_line	SRR7172392
Induced_pluripotent_stem_cells_cell_line	SRR7172393
Induced_pluripotent_stem_cells_cell_line	SRR7172394
Induced_pluripotent_stem_cells_cell_line	SRR7172395
Induced_pluripotent_stem_cells_cell_line	SRR7172396
Induced_pluripotent_stem_cells_cell_line	SRR7172397
breast	ERR030891
breast	ERR030883
colon	ERR030892
colon	ERR030884
prostate	ERR030898
prostate	ERR030877
white_blood_cells	ERR030900
white_blood_cells	ERR030875
lung	ERR030896
