condition	sample
CS1910121076	CS1910121076-1
CS1910121076	CS1910121076-2
CS1910121076	CS1910121076-3
CS1910121012	CS1910121012-1
CS1910121012	CS1910121012-2
CS1910121012	CS1910121012-3
CS1910121021	CS1910121021-1
CS1910121021	CS1910121021-2
CS1910121021	CS1910121021-3
CS1910121057	CS1910121057-1
CS1910121057	CS1910121057-2
CS1910121057	CS1910121057-3
CS1910121108	CS1910121108-1
CS1910121108	CS1910121108-2
CS1910121108	CS1910121108-3
CS1910121040	CS1910121040-1
CS1910121040	CS1910121040-2
CS1910121040	CS1910121040-3
CS1910121039	CS1910121039-1
CS1910121039	CS1910121039-2
CS1910121039	CS1910121039-3
CS1910121065	CS1910121065-1
CS1910121065	CS1910121065-2
CS1910121065	CS1910121065-3
CS1910121098	CS1910121098-1
CS1910121098	CS1910121098-2
CS1910121098	CS1910121098-3
CS1910121081	CS1910121081-1
CS1910121081	CS1910121081-2
CS1910121081	CS1910121081-3
CS1910121002	CS1910121002-1
CS1910121002	CS1910121002-2
CS1910121002	CS1910121002-3
CS1910121085	CS1910121085-1
CS1910121085	CS1910121085-2
CS1910121085	CS1910121085-3
CS1910121004	CS1910121004-1
CS1910121004	CS1910121004-2
CS1910121004	CS1910121004-3
CS1910121059	CS1910121059-1
CS1910121059	CS1910121059-2
CS1910121059	CS1910121059-3
CS1910121083	CS1910121083-1
CS1910121083	CS1910121083-2
CS1910121083	CS1910121083-3
CS1910121056	CS1910121056-1
CS1910121056	CS1910121056-2
CS1910121056	CS1910121056-3
CS1910121052	CS1910121052-1
CS1910121052	CS1910121052-2
CS1910121052	CS1910121052-3
CS1910121001	CS1910121001-1
CS1910121001	CS1910121001-2
CS1910121001	CS1910121001-3
CS1910121075	CS1910121075-1
CS1910121075	CS1910121075-2
CS1910121075	CS1910121075-3
CS1910121011	CS1910121011-1
CS1910121011	CS1910121011-2
CS1910121011	CS1910121011-3
CS1910121018	CS1910121018-1
CS1910121018	CS1910121018-2
CS1910121018	CS1910121018-3
CS1910121095	CS1910121095-1
CS1910121095	CS1910121095-2
CS1910121095	CS1910121095-3
CS1910121089	CS1910121089-1
CS1910121089	CS1910121089-2
CS1910121089	CS1910121089-3
CS1910121049	CS1910121049-1
CS1910121049	CS1910121049-2
CS1910121049	CS1910121049-3
CS1910121010	CS1910121010-1
CS1910121010	CS1910121010-2
CS1910121010	CS1910121010-3
CS1910121104	CS1910121104-1
CS1910121104	CS1910121104-2
CS1910121104	CS1910121104-3
CS1910121028	CS1910121028-1
CS1910121028	CS1910121028-2
CS1910121028	CS1910121028-3
CS1910121033	CS1910121033-1
CS1910121033	CS1910121033-2
CS1910121033	CS1910121033-3
CS1910121030	CS1910121030-1
