condition	sample
Cortical_neuron_stem_cells_differentiated_from_iPSC	SRR5908913
Cortical_neuron_stem_cells_differentiated_from_iPSC	SRR5908914
Cortical_neurons_differentiated_from_iPSC	SRR5908915
Neurons	SRR8188880
Neurons	SRR8188881
Neurons	SRR8188882
Neurons	SRR8188883
Neurons	SRR8188884
Neurons	SRR8188885
Neurons	SRR8188886
Neurons	SRR8188887
Neurons	SRR8188888
Neurons	SRR8188889
Neurons	SRR8188890
Neurons	SRR8188891
Neurons	SRR8188892
Neurons	SRR8188893
Neurons	SRR8188894
Neurons	SRR8188895
Frontal_Cortex	SRR8375274
Frontal_Cortex	SRR8375275
Frontal_Cortex	SRR8375276
Frontal_Cortex	SRR8375277
Frontal_Cortex	SRR8375278
Frontal_Cortex	SRR8375279
Frontal_Cortex	SRR8375280
Frontal_Cortex	SRR8375281
Frontal_Cortex	SRR8375282
Frontal_Cortex	SRR8375283
Frontal_Cortex	SRR8375284
Frontal_Cortex	SRR8375285
Frontal_Cortex	SRR8375286
Frontal_Cortex	SRR8375307
Frontal_Cortex	SRR8375308
Frontal_Cortex	SRR8375309
Frontal_Cortex	SRR8375310
Frontal_Cortex	SRR8375311
Frontal_Cortex	SRR8375312
Frontal_Cortex	SRR8375324
Frontal_Cortex	SRR8375325
Frontal_Cortex	SRR8375326
Frontal_Cortex	SRR8375327
Frontal_Cortex	SRR8375328
Frontal_Cortex	SRR8375329
Frontal_Cortex	SRR8375331
Frontal_Cortex	SRR8375333
Frontal_Cortex	SRR8375334
Frontal_Cortex	SRR8375335
Frontal_Cortex	SRR8375336
Frontal_Cortex	SRR8375337
Frontal_Cortex	SRR8375338
Frontal_Cortex	SRR8375341
Frontal_Cortex	SRR8375345
Frontal_Cortex	SRR8375347
Frontal_Cortex	SRR8375357
Frontal_Cortex	SRR8375362
Frontal_Cortex	SRR8375363
Frontal_Cortex	SRR8375364
Frontal_Cortex	SRR8375365
Frontal_Cortex	SRR8375366
Frontal_Cortex	SRR8375367
Frontal_Cortex	SRR8375368
