condition	sample
limb-10.5_day	ENCFF291NWK
limb-10.5_day	ENCFF959ZAX
limb-10.5_day	ENCFF775HDI
limb-10.5_day	ENCFF678XFK
limb-11.5_day	ENCFF237DCF
limb-11.5_day	ENCFF249AZE
limb-11.5_day	ENCFF820NAK
limb-11.5_day	ENCFF654OBR
embryonic_facial_prominence-13.5_day	ENCFF500GLW
embryonic_facial_prominence-13.5_day	ENCFF249ZZI
embryonic_facial_prominence-13.5_day	ENCFF781WVF
embryonic_facial_prominence-13.5_day	ENCFF053CRD
intestine-0_day	ENCFF014ZBI
intestine-0_day	ENCFF499WIP
intestine-0_day	ENCFF093ZAR
intestine-0_day	ENCFF316QLU
kidney-15.5_day	ENCFF266SYA
kidney-15.5_day	ENCFF654QAE
liver-8_week	ENCFF001RTA
liver-8_week	ENCFF001RTN
liver-8_week	ENCFF001RTD
liver-8_week	ENCFF001RTM
stomach-0_day	ENCFF807MPL
stomach-0_day	ENCFF301EKO
stomach-0_day	ENCFF071QDU
stomach-0_day	ENCFF101BTX
liver-16.5_day	ENCFF245OTN
liver-16.5_day	ENCFF130DKL
spleen-0_day	ENCFF082DGE
spleen-0_day	ENCFF671GFL
spleen-0_day	ENCFF014ITK
spleen-0_day	ENCFF063LXW
embryonic_facial_prominence-10.5_day	ENCFF839MMS
embryonic_facial_prominence-10.5_day	ENCFF896QPV
embryonic_facial_prominence-10.5_day	ENCFF744XBD
embryonic_facial_prominence-10.5_day	ENCFF839UKS
embryonic_facial_prominence-15.5_day	ENCFF576MIX
embryonic_facial_prominence-15.5_day	ENCFF528UUE
limb-15.5_day	ENCFF679RDZ
limb-15.5_day	ENCFF565KTC
liver-13.5_day	ENCFF932YNB
liver-13.5_day	ENCFF985XAR
kidney-0_day	ENCFF143NRY
kidney-0_day	ENCFF367OPA
kidney-0_day	ENCFF929PSZ
kidney-0_day	ENCFF798JOI
lung-15.5_day	ENCFF289EZB
lung-15.5_day	ENCFF618MYZ
limb-12.5_day	ENCFF479HKB
limb-12.5_day	ENCFF409ZNA
limb-12.5_day	ENCFF237SXT
limb-12.5_day	ENCFF262CIY
embryonic_facial_prominence-12.5_day	ENCFF599OTY
embryonic_facial_prominence-12.5_day	ENCFF557LMN
embryonic_facial_prominence-12.5_day	ENCFF771GDS
embryonic_facial_prominence-12.5_day	ENCFF551UCM
liver-12.5_day	ENCFF473WMT
liver-12.5_day	ENCFF377KCE
liver-12.5_day	ENCFF155LJD
liver-12.5_day	ENCFF854WTE
liver-11.5_day	ENCFF635VBU
liver-11.5_day	ENCFF810MMJ
liver-11.5_day	ENCFF677ULG
liver-11.5_day	ENCFF956HCY
embryonic_facial_prominence-11.5_day	ENCFF714ZDW
embryonic_facial_prominence-11.5_day	ENCFF427WPK
embryonic_facial_prominence-11.5_day	ENCFF917VEZ
embryonic_facial_prominence-11.5_day	ENCFF709FPA
intestine-15.5_day	ENCFF379JZS
intestine-15.5_day	ENCFF107WVN
stomach-15.5_day	ENCFF048EJZ
stomach-15.5_day	ENCFF850KIG
stomach-15.5_day	ENCFF263TIR
stomach-15.5_day	ENCFF273IHW
liver-15.5_day	ENCFF276ENR
liver-15.5_day	ENCFF085URY
limb-13.5_day	ENCFF246JLP
limb-13.5_day	ENCFF419QRX
bladder-0_day	ENCFF603WRT
bladder-0_day	ENCFF783MUB
bladder-0_day	ENCFF244FRB
bladder-0_day	ENCFF296HAI
thymus-0_day	ENCFF530SXN
thymus-0_day	ENCFF453JXA
thymus-0_day	ENCFF638TAT
thymus-0_day	ENCFF718DNJ
limb-14.5_day	ENCFF780HRS
limb-14.5_day	ENCFF682WAX
limb-14.5_day	ENCFF235PJS
limb-14.5_day	ENCFF184ELK
liver-0_day	ENCFF746XUK
liver-0_day	ENCFF986WFE
liver-0_day	ENCFF584CMS
liver-0_day	ENCFF528MAS
lung-16.5_day	ENCFF778KZE
lung-16.5_day	ENCFF919VVI
lung-16.5_day	ENCFF916XIQ
lung-16.5_day	ENCFF910RNP
liver-14.5_day	ENCFF635YMK
liver-14.5_day	ENCFF510RXX
liver-14.5_day	ENCFF526QHV
liver-14.5_day	ENCFF536HIT
kidney-16.5_day	ENCFF652UDJ
kidney-16.5_day	ENCFF901TLF
lung-0_day	ENCFF637AVG
lung-0_day	ENCFF542DBJ
lung-0_day	ENCFF505QCL
lung-0_day	ENCFF333IFD
lung-14.5_day	ENCFF657LQI
lung-14.5_day	ENCFF503BOB
lung-14.5_day	ENCFF800SJE
lung-14.5_day	ENCFF728LAM
intestine-16.5_day	ENCFF039KJW
intestine-16.5_day	ENCFF235BLS
intestine-14.5_day	ENCFF113UJZ
intestine-14.5_day	ENCFF553BVK
intestine-14.5_day	ENCFF758VQQ
intestine-14.5_day	ENCFF904JAW
stomach-16.5_day	ENCFF180LOF
stomach-16.5_day	ENCFF494GQK
kidney-14.5_day	ENCFF301QEB
kidney-14.5_day	ENCFF070BUP
kidney-14.5_day	ENCFF140MLD
kidney-14.5_day	ENCFF021BPG
stomach-14.5_day	ENCFF553BSP
stomach-14.5_day	ENCFF775CBB
stomach-14.5_day	ENCFF417NAF
stomach-14.5_day	ENCFF352EXD
embryonic_facial_prominence-14.5_day	ENCFF061AVT
embryonic_facial_prominence-14.5_day	ENCFF316SZZ
embryonic_facial_prominence-14.5_day	ENCFF360GSG
embryonic_facial_prominence-14.5_day	ENCFF252QAP
