condition	sample
L5a_Hsd11b1	L5a_Hsd11b1-1
L5a_Hsd11b1	L5a_Hsd11b1-2
L5a_Hsd11b1	L5a_Hsd11b1-3
L6a_Car12	L6a_Car12-1
L6a_Car12	L6a_Car12-2
L6a_Car12	L6a_Car12-3
L6b_Serpinb11	L6b_Serpinb11-1
L6b_Serpinb11	L6b_Serpinb11-2
L6b_Serpinb11	L6b_Serpinb11-3
L6a_Syt17	L6a_Syt17-1
L6a_Syt17	L6a_Syt17-2
L6a_Syt17	L6a_Syt17-3
L5a_Pde1c	L5a_Pde1c-1
L5a_Pde1c	L5a_Pde1c-2
L5a_Pde1c	L5a_Pde1c-3
L4_Ctxn3	L4_Ctxn3-1
L4_Ctxn3	L4_Ctxn3-2
L4_Ctxn3	L4_Ctxn3-3
L4_Scnn1a	L4_Scnn1a-1
L4_Scnn1a	L4_Scnn1a-2
L4_Scnn1a	L4_Scnn1a-3
L6b_Rgs12	L6b_Rgs12-1
L6b_Rgs12	L6b_Rgs12-2
L6b_Rgs12	L6b_Rgs12-3
L6a_Sla	L6a_Sla-1
L6a_Sla	L6a_Sla-2
L6a_Sla	L6a_Sla-3
L5a_Tcerg1l	L5a_Tcerg1l-1
L5a_Tcerg1l	L5a_Tcerg1l-2
L5a_Tcerg1l	L5a_Tcerg1l-3
L5b_Tph2	L5b_Tph2-1
L5b_Tph2	L5b_Tph2-2
L5b_Tph2	L5b_Tph2-3
L5a_Batf3	L5a_Batf3-1
L5a_Batf3	L5a_Batf3-2
L5a_Batf3	L5a_Batf3-3
L4_Arf5	L4_Arf5-1
L4_Arf5	L4_Arf5-2
L4_Arf5	L4_Arf5-3
L5b_Cdh13	L5b_Cdh13-1
L5b_Cdh13	L5b_Cdh13-2
L5b_Cdh13	L5b_Cdh13-3
L5_Ucma	L5_Ucma-1
L5_Ucma	L5_Ucma-2
L5_Ucma	L5_Ucma-3
L6a_Mgp	L6a_Mgp-1
L6a_Mgp	L6a_Mgp-2
L6a_Mgp	L6a_Mgp-3
L2_Ngb	L2_Ngb-1
L2_Ngb	L2_Ngb-2
L2_Ngb	L2_Ngb-3
L2/3_Ptgs2	L2/3_Ptgs2-1
L2/3_Ptgs2	L2/3_Ptgs2-2
L2/3_Ptgs2	L2/3_Ptgs2-3
L5_Chrna6	L5_Chrna6-1
L5_Chrna6	L5_Chrna6-2
L5_Chrna6	L5_Chrna6-3
