condition	sample
neural_tube-13.5_day	ENCFF405VKS
neural_tube-13.5_day	ENCFF241GLU
neural_tube-0_day	ENCFF957SPL
neural_tube-0_day	ENCFF046EJC
neural_tube-0_day	ENCFF085MBO
neural_tube-0_day	ENCFF216XBD
neural_tube-0_day	ENCFF489RVW
neural_tube-0_day	ENCFF378CNA
hindbrain-13.5_day	ENCFF032XDZ
hindbrain-13.5_day	ENCFF874AXO
hindbrain-10.5_day	ENCFF377BWR
hindbrain-10.5_day	ENCFF786VDJ
hindbrain-10.5_day	ENCFF282QML
hindbrain-10.5_day	ENCFF913XMQ
neural_tube-11.5_day	ENCFF198HBZ
neural_tube-11.5_day	ENCFF758NAG
neural_tube-11.5_day	ENCFF834WRE
neural_tube-11.5_day	ENCFF528JFG
hindbrain-14.5_day	ENCFF275SGM
hindbrain-14.5_day	ENCFF926BFE
hindbrain-14.5_day	ENCFF060NTC
hindbrain-14.5_day	ENCFF167NXN
hindbrain-12.5_day	ENCFF738FUB
hindbrain-12.5_day	ENCFF416EWW
hindbrain-12.5_day	ENCFF160LUK
hindbrain-12.5_day	ENCFF876NSY
midbrain-14.5_day	ENCFF156BSL
midbrain-14.5_day	ENCFF421QJA
midbrain-14.5_day	ENCFF499UQZ
midbrain-14.5_day	ENCFF093YSD
midbrain-0_day	ENCFF002FAG
midbrain-0_day	ENCFF002FAH
midbrain-0_day	ENCFF002FAI
midbrain-0_day	ENCFF002FAJ
midbrain-0_day	ENCFF570CRR
midbrain-0_day	ENCFF448ZPT
midbrain-0_day	ENCFF173XBZ
midbrain-0_day	ENCFF316XGF
midbrain-11.5_day	ENCFF348BYM
midbrain-11.5_day	ENCFF739QUZ
midbrain-11.5_day	ENCFF051VXS
midbrain-11.5_day	ENCFF327YJQ
forebrain-0_day	ENCFF002EZU
forebrain-0_day	ENCFF002EZV
forebrain-0_day	ENCFF002FAE
forebrain-0_day	ENCFF002FAF
forebrain-0_day	ENCFF447EXU
forebrain-0_day	ENCFF037JQC
forebrain-0_day	ENCFF458NWF
forebrain-0_day	ENCFF358MFI
hindbrain-16.5_day	ENCFF706XOL
hindbrain-16.5_day	ENCFF548GUA
neural_tube-12.5_day	ENCFF003CSR
neural_tube-12.5_day	ENCFF090KDU
neural_tube-12.5_day	ENCFF555MUK
neural_tube-12.5_day	ENCFF078SPI
midbrain-12.5_day	ENCFF810ZDM
midbrain-12.5_day	ENCFF062HAD
midbrain-12.5_day	ENCFF853SOX
midbrain-12.5_day	ENCFF476UXE
midbrain-15.5_day	ENCFF889DNO
midbrain-15.5_day	ENCFF091YUW
forebrain-13.5_day	ENCFF959PSX
forebrain-13.5_day	ENCFF235DNM
midbrain-13.5_day	ENCFF839VKV
midbrain-13.5_day	ENCFF819IDW
hindbrain-15.5_day	ENCFF645LDN
hindbrain-15.5_day	ENCFF378HXV
forebrain-10.5_day	ENCFF920CNZ
forebrain-10.5_day	ENCFF320FJX
forebrain-10.5_day	ENCFF528EVC
forebrain-10.5_day	ENCFF663SNC
forebrain-15.5_day	ENCFF891HIX
forebrain-15.5_day	ENCFF179JEC
hindbrain-11.5_day	ENCFF094ZGK
hindbrain-11.5_day	ENCFF172XPK
hindbrain-11.5_day	ENCFF672PAZ
hindbrain-11.5_day	ENCFF372TIL
midbrain-10.5_day	ENCFF099UUS
midbrain-10.5_day	ENCFF059FUK
midbrain-10.5_day	ENCFF052VGB
midbrain-10.5_day	ENCFF819ZTA
forebrain-12.5_day	ENCFF203BWA
forebrain-12.5_day	ENCFF920QAY
forebrain-12.5_day	ENCFF294JRP
forebrain-12.5_day	ENCFF700OLU
forebrain-11.5_day	ENCFF329ACL
forebrain-11.5_day	ENCFF251LNG
forebrain-11.5_day	ENCFF896COV
hindbrain-0_day	ENCFF002EZW
hindbrain-0_day	ENCFF002EZX
hindbrain-0_day	ENCFF002EZY
hindbrain-0_day	ENCFF002EZZ
hindbrain-0_day	ENCFF336BOI
hindbrain-0_day	ENCFF700EWM
hindbrain-0_day	ENCFF104CQE
hindbrain-0_day	ENCFF863UFD
neural_tube-15.5_day	ENCFF895DPO
neural_tube-15.5_day	ENCFF581SPK
midbrain-16.5_day	ENCFF938RVG
midbrain-16.5_day	ENCFF727ACE
forebrain-16.5_day	ENCFF931IVO
forebrain-16.5_day	ENCFF114DRT
neural_tube-14.5_day	ENCFF321ZGR
neural_tube-14.5_day	ENCFF447CLP
neural_tube-14.5_day	ENCFF064MCV
neural_tube-14.5_day	ENCFF739BEA
forebrain-14.5_day	ENCFF270GKY
forebrain-14.5_day	ENCFF460TCF
forebrain-14.5_day	ENCFF126IRS
forebrain-14.5_day	ENCFF748SRJ
whole_cortex-E14.5	SRR1805814
whole_cortex-E14.5	SRR1805815
whole_cortex-E16.5	SRR1812033
whole_cortex-E16.5	SRR1812034
whole_cortex-P0	SRR1805816
whole_cortex-P0	SRR1805817
whole_cortex-P4	SRR1805818
whole_cortex-P4	SRR1805819
whole_cortex-P7	SRR1805829
whole_cortex-P7	SRR1805828
whole_cortex-P15	SRR1805827
whole_cortex-P15	SRR1805826
whole_cortex-P30	SRR1805825
whole_cortex-P30	SRR1805824
whole_cortex-P110	SRR1805823
whole_cortex-P110	SRR1805822
whole_cortex-21M	SRR1805821
whole_cortex-21M	SRR1805820
Cerebral_cortex_pyramidal_neurons	SRX7261958
Cerebral_cortex_pyramidal_neurons	SRX7261957
Cerebral_cortex_pyramidal_neurons	SRX7261956
Cerebral_cortex_pyramidal_neurons	SRX7261955
Cerebral_cortex_pyramidal_neurons	SRX7261954
Cerebral_cortex_pyramidal_neurons	SRX7261953
Cerebral_cortex_pyramidal_neurons	SRX7261952
Cerebral_cortex_pyramidal_neurons	SRX7261951
Cerebral_cortex_pyramidal_neurons	SRX7261950
Cerebral_cortex_pyramidal_neurons	SRX7261949
Cerebral_cortex_pyramidal_neurons	SRX7261948
Hypoothalamic_LepRb_Neurons	SRX5145265
Hypoothalamic_LepRb_Neurons	SRX5145263
Hypoothalamic_LepRb_Neurons	SRX5145261
Hypoothalamic_LepRb_Neurons	SRX5145264
Hypoothalamic_LepRb_Neurons	SRX5145262
Hypoothalamic_LepRb_Neurons	SRX5145260
Hypoothalamic_LepRb_Neurons	SRX5145259
Hypoothalamic_LepRb_Neurons	SRX5145257
Hypoothalamic_LepRb_Neurons	SRX5145255
Hypoothalamic_LepRb_Neurons	SRX5145258
Hypoothalamic_LepRb_Neurons	SRX5145256
Hypoothalamic_LepRb_Neurons	SRX5145254
Central_amygdala_Drd2_neurons	SRX4113035
Central_amygdala_Drd2_neurons	SRX4113034
Central_amygdala_Drd2_neurons	SRX4113033
Central_amygdala_Drd2_neurons	SRX4113032
Central_amygdala_Drd2_neurons	SRX4113031
Dopaminergic_neurons_in_adult_midbrain	SRX3492200
Dopaminergic_neurons_in_adult_midbrain	SRX3492198
Dopaminergic_neurons_in_adult_midbrain	SRX3492196
Dopaminergic_neurons_in_adult_midbrain	SRX3492194
Dopaminergic_neurons_in_adult_midbrain	SRX3492199
Dopaminergic_neurons_in_adult_midbrain	SRX3492197
Dopaminergic_neurons_in_adult_midbrain	SRX3492195
Dopaminergic_neurons_in_adult_midbrain	SRX3492193
Dopaminergic_neurons_in_adult_midbrain	SRX3492192
Dopaminergic_neurons_in_adult_midbrain	SRX3492190
Dopaminergic_neurons_in_adult_midbrain	SRX3492188
Dopaminergic_neurons_in_adult_midbrain	SRX3492185
Dopaminergic_neurons_in_adult_midbrain	SRX3492191
Dopaminergic_neurons_in_adult_midbrain	SRX3492189
Dopaminergic_neurons_in_adult_midbrain	SRX3492186
Dopaminergic_neurons_in_adult_midbrain	SRX3492184
Serotonergic_neurons_in_adult_hindbrain	SRX3491972
Serotonergic_neurons_in_adult_hindbrain	SRX3491971
Serotonergic_neurons_in_adult_hindbrain	SRX3491970
Serotonergic_neurons_in_adult_hindbrain	SRX3491969
Serotonergic_neurons_in_adult_hindbrain	SRX3491968
Serotonergic_neurons_in_adult_hindbrain	SRX3491967
Serotonergic_neurons_in_adult_hindbrain	SRX3491966
Serotonergic_neurons_in_adult_hindbrain	SRX3491965
Serotonergic_neurons_in_adult_hindbrain	SRX3491964
Serotonergic_neurons_in_adult_hindbrain	SRX3491963
Serotonergic_neurons_in_adult_hindbrain	SRX3491962
Serotonergic_neurons_in_adult_hindbrain	SRX3491961
Serotonergic_neurons_in_adult_hindbrain	SRX3491960
Serotonergic_neurons_in_adult_hindbrain	SRX3491959
Serotonergic_neurons_in_adult_hindbrain	SRX3491958
Serotonergic_neurons_in_adult_hindbrain	SRX3491957
Chat+_motor_neurons_from_cervical_spinal_cord	SRX3276252
Chat+_motor_neurons_from_cervical_spinal_cord	SRX3276251
Chat+_motor_neurons_from_cervical_spinal_cord	SRX3276250
Chat+_motor_neurons_from_cervical_spinal_cord	SRX3276249
