event	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	geneName	lengthDiff	label
HsaEX7003309	chr5	+	112828973	112856648	112856674	112862507	CTC-554D6.1	25	
HsaEX1003277	chr14	+	32735883	32745713	32745717	32773677	AKAP6	3	nd
HsaEX6069075	chr12	+	110281908	110282603	110282622	110282712	ATP2A2	18	nd
HsaEX0065599	chr7	-	150799619	150800992	150796575	150799610	TMEM176B	5	nd
HsaEX6054637	chr3	-	15695215	15696133	15694814	15695187	ANKRD28	27	nd
HsaEX1012051	chr1	+	65345724	65345994	65345998	65364634	DNAJC6	3	nd
HsaEX1040877	chr17	+	62553756	62555109	62555113	62560015	TLK2	3	nd
HsaEX6086884	chr4	+	168661552	168691268	168691293	168744549	PALLD	24	
HsaEX0012136	chr7	-	122386310	122387025	122379443	122386294	CADPS2	15	lo
HsaEX1038833	chr9	+	128552697	128556520	128556529	128566737	SPTAN1	8	nd
HsaEX1015035	chr10	+	43374503	43374612	43374640	43375498	FXYD4	27	
HsaEX1009970	chr5	-	149517347	149517793	149513210	149517337	CSNK1A1	9	nd
HsaEX1007435	chr3	-	180654570	180654761	180652267	180654542	CCDC39	27	
HsaEX0022392	chr2	+	54928752	54948005	54948015	54948881	EML6	9	
HsaEX1009566	chr16	+	30183014	30183722	30183726	30185208	CORO1A	3	
HsaEX6018641	chr2	+	219178634	219179003	219179029	219179732	FAM134A	25	
HsaEX0060965	chr10	-	95422217	95432447	95422074	95422189	SORBS1	27	hi
HsaEX1018360	chr2	-	162421616	162423335	162400442	162421612	KCNH7	3	hi
HsaEX1012550	chr20	+	34534796	34537904	34537908	34540580	DYNLRB1	3	nd
HsaEX0009119	chr12	-	26924075	26924354	26922701	26924050	INTS13	24	hi
HsaEX1025231	chr11	+	113130800	113133434	113133449	113202378	NCAM1	14	nd
HsaEX0018760	chr4	-	182915889	182916285	182915576	182915880	DCTD	8swa.  
HsaEX1030127	chr19	-	5271219	5273441	5265197	5271211	PTPRS	7	nd
HsaEX6080113	chr8	+	27518073	27520882	27520910	27522422	EPHX2	27	nd
HsaEX1028293	chr15	-	72223804	72230899	72219111	72223797	PKM	6	nd
HsaEX1013039	chr4	-	100411363	100415897	100410356	100411335	EMCN	27	
HsaEX0061487	chr1	-	31815373	31815960	31801706	31815347	SPOCD1	25	
HsaEX1045006	chr19	-	58134025	58154734	58129512	58134021	ZNF329	3	nd
HsaEX0067128	chr6	+	30339931	30340271	30340287	30340504	TRIM39	15	nd
HsaEX0031380	chr3	+	9903065	9903396	9903413	9904031	IL17RE	16	hi
HsaEX1023555	chr5	-	122451807	122478585	122450667	122451780	MGC32805	26	
HsaEX1044460	chr14	+	88578141	88606121	88606128	88607242	ZC3H14	6	nd
HsaEX1040731	chr1	+	36224506	36254264	36254292	36259381	THRAP3	27	
HsaEX1021901	chr6	-	69710445	69713644	69709232	69710424	LMBRD1	20	
HsaEX0037213	chr11	+	47279080	47280159	47280169	47281574	MADD	9	nd
HsaEX1025116	chr18	+	10534497	10538619	10538631	10539761	NAPG	11	nd
HsaEX6015067	chr2	+	112008476	112008801	112008814	112009923	MERTK	12	
HsaEX0073812	chr9	-	96774847	96775999	96763633	96774787	ZNF510	27	nd
HsaEX1044653	chr20	-	52187866	52204195	52187072	52187862	ZFP64	3	nd
HsaEX1033560	chr11	-	45489983	45513272	45387286	45489977	RP11-430H10.4	5	
HsaEX6013807	chr2	-	70692553	70695720	70677782	70692546	ADD2	6	
HsaEX6034527	chr1	-	161630389	161631054	161630036	161630367	FCGR3B	21	nd
HsaEX1026294	chr9	+	84752086	84801586	84801592	84810541	NTRK2	5	nd
HsaEX6035818	chr1	+	198700813	198704471	198704499	198712952	PTPRC	27	
HsaEX1014349	chr16	-	87342353	87342876	87336265	87342348	FBXO31	4	nd
HsaEX1041141	chr9	-	71712422	71714933	71712261	71712401	TMEM2	20	
HsaEX0016363	chr21	+	45482822	45486547	45486560	45486860	COL18A1	8	ot
HsaEX1005247	chr1	-	46658462	46658686	46658190	46658436	ATPAF1	25	
HsaEX6095827	chr19	+	47380993	47381185	47381325	47381979	DHX34	24	nd
HsaEX0004865	chr22	-	29329721	29330377	29328896	29329711	AP1B1	9	hi
HsaEX1007193	chr17	-	48074835	48075005	48071580	48074828	CBX1	6	nd
HsaEX1017311	chr12	+	21373432	21376360	21376365	21378236	IAPP	4	
HsaEX1019455	chrX	-	65530077	65531356	65529879	65530065	LAS1L	11	nd
HsaEX0037594	chr6	-	90552982	90553457	90552180	90552978	MAP3K7	3	nd
HsaEX1040484	chr17	-	58594738	58598875	58593662	58594726	TEX14	11	nd
HsaEX1041920	chr6	+	30168531	30169491	30169499	30170500	TRIM15	7	
HsaEX1025229	chr8	-	101687827	101687971	101687090	101687800	NCALD	26	
HsaEX0041743	chr1	+	201803715	201804488	201804498	201807952	NAV1	9	ot
HsaEX1018398	chr10	-	77022937	77027822	77019103	77022927	KCNMA1	9	nd
HsaEX1043465	chr12	+	95217887	95245544	95245552	95251939	VEZT	7	nd
HsaEX1045021	chr10	+	38017387	38039794	38039806	38054374	ZNF33A	11	nd
HsaEX6076838	chr20	-	2463228	2463746	2463173	2463205	SNRPB	22	
HsaEX1038145	chr17	-	48937292	48940923	48937125	48937280	SNF8	11	
