ME	condition	PSIs_condition	PSIs_background	Conditions_background	condition_mean	condition_std	background_mean	background_std	SSMD
chr4_+_88676217_88676241	Exc_L5-6	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0]	[0.5897345452901008, 0.7333333333333333, 0.6713602187286397, 0.7309523809523809, 1.0, 1.0, 0.45238095238095233, 0.4570526474091839, 0.6580321852060982, 0.7049021457013024, 0.6224196855775803, 0.9047619047619048, 0.9166666666666666, 0.7127192982456141, 0.8383838383838385, 0.9047619047619048, 1.0, 1.0, 0.45238095238095233, 0.9310344827586207, 0.7391304347826086, 0.6363636363636364, 0.6]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.9722222222222222	0.07243558228002943	0.7502770092906661	0.17759696856023935	1.1571644241288987
chr10_-_76884988_76885017	Exc_L5-6	[0.37037037037037035, 0.5, 0.2727272727272727, 0.2, 0.25925925925925924, 0.2, 0.47368421052631576, 0.2, 0.9285714285714286, 1.0, 0.6666666666666666, 1.0, 0.5, 0.16129032258064516, 0.6521739130434783, 0.391304347826087, 0.42857142857142855, 1.0, 0.09090909090909091, 1.0]	[0.0, 0.0]	['embryonic_stem_cells', 'testes']	0.5147764155526022	0.310350049090454	0.0	0.0	1.658696098361391
chr8_+_42396677_42396680	Exc_L5-6	[1.0, 1.0, 0.9976580796252927, 0.9953051643192489, 1.0, 0.9924812030075187, 1.0, 1.0, 1.0, 1.0, 0.9949494949494949, 0.9899328859060402, 1.0, 1.0, 1.0, 0.9984038308060654, 0.9973118279569892, 0.9975629569455727, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9897435897435898, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.39999999999999997, 0.22291666666666668, 0.0012173038229376257, 0.0013459642737209277, 0.014492753623188406, 0.10932726753209904, 0.11801345346274823, 0.02892041684714878, 0.0, 0.0, 0.06695813703399377, 0.046913108372604616, 0.08710103481406739, 0.38745019920318724, 0.51986909770921, 0.5866979091564528, 0.03407960199004975, 0.29081632653061223, 0.023235499650593988, 0.6385850991114148, 0.2740622788393489, 0.11415362731152205, 0.013333333333333334, 0.053759398496240604, 0.2054000565450947]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.9985863343412065	0.002838432422509987	0.16954594137304946	0.1922817639562046	4.311121667464021
chr9_-_8454579_8454594	Exc_L5-6	[1.0, 1.0, 0.16666666666666666, 1.0, 0.5, 0.8, 0.9047619047619048, 0.18181818181818182, 0.8421052631578947, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.009708737864077669, 0.0422887755009848, 0.052217883730666596, 0.015873015873015872, 0.0, 0.0, 0.0, 0.0008169934640522876, 0.037037037037037035, 0.07196969696969698, 0.0, 0.0, 0.0, 0.0]	['Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'colon', 'kidney', 'thyroid', 'ovary']	0.7632138196731497	0.3120492862620485	0.013524243555266543	0.022101263242571875	2.3964684472048767
chr5_+_67094156_67094165	Exc_L5-6	[1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'embryonic_stem_cells', 'human-induced_pluripotent_stem_cell_HiPSC', 'colon', 'white_blood_cells', 'thyroid', 'testes', 'adipose']	0.917948717948718	0.19940740610485727	0.0	0.0	4.603383273869075
chr10_+_78037964_78037982	Exc_L5-6	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821428571428571, 1.0, 1.0, 1.0]	[0.5231144085221943, 0.010627124354056805, 0.07144866546888122, 0.013952276537753596, 0.023020906741836974, 0.0822459976301473, 0.19517928587739608, 0.010823874525237477, 0.03250494102994885, 0.30779401671444145, 0.0014755530480200394, 0.0, 0.12477695259876787, 0.6643192488262911, 0.9154533510719867, 0.9831006612784717, 0.3333333333333333, 0.5159301130524152, 0.2992981385413488, 0.9203899268887084, 0.5225109461260232, 0.6179226372148363, 0.014332965821389196, 0.0, 0.593052738336714]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.9994588744588746	0.00306106831682489	0.311064322541608	0.32146691310396064	2.1413194232547124
chr13_+_35168986_35168995	Exc_L5-6	[1.0, 0.9766536964980544, 0.9830508474576272, 1.0, 1.0, 1.0, 0.9655172413793104, 0.9827586206896551, 1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 1.0, 0.9795918367346939, 0.9620034542314335, 0.922962962962963, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9936507936507937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.8670116386587315, 0.8217475474171363, 0.7295994576301482, 0.8064516129032258, 0.6336363636363637, 0.685401351193779, 0.40715151515151515, 0.796031746031746, 0.6, 0.8139682539682539, 0.6845263281990683, 0.8274376417233561, 0.34494884910485935, 1.0, 0.0, 0.7653061224489797, 0.0, 1.0, 1.0, 0.625]	['Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'lung', 'kidney', 'thyroid', 'ovary']	0.9822767537584749	0.05895267647999166	0.6704109214033581	0.27950245960729014	1.0917685666963006
chr1_-_201362385_201362391	Exc_L5-6	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9512195121951219, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'prostate', 'lung', 'kidney', 'testes', 'ovary']	0.9971305595408896	0.011477761836441903	0.009444444444444445	0.027971546389275785	32.66713641444911
chr8_-_143592646_143592660	Exc_L5-6	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.42857142857142855, 1.0, 0.7333333333333333, 0.5714285714285714, 0.8823529411764706, 1.0, 1.0, 0.2903225806451613, 1.0, 1.0, 1.0, 1.0]	[0.2214069617579716, 0.0045108940374423406, 0.0333381760203626, 0.017834870247964176, 0.016129032258064516, 0.0017123287671232876, 0.0, 0.045084583270383116, 0.02605965752451655, 0.018639354772114272, 0.032759496085771916, 0.058312497224428626, 0.0030364286182700505, 0.046479378032842626, 0.07315047511765228, 0.2052703505644682, 0.0, 0.0, 0.0015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.002717391304347826, 0.038461538461538464, 0.0, 0.0, 0.0319337670017741]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'Fibroblast_line_2', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.8836671586197203	0.21797019712575985	0.031370558664482066	0.05440483212890207	3.793763581762314
chr7_+_143387761_143387787	Exc_L5-6	[0.8461538461538461, 1.0, 0.9310344827586207, 0.9166666666666666, 0.6666666666666666, 0.6, 0.7073170731707317, 0.7894736842105263, 0.9666666666666667, 0.8969072164948454, 0.8363636363636363, 0.8076923076923077, 0.16666666666666666, 0.5, 0.8214285714285714, 0.7, 0.7319587628865979, 1.0, 1.0, 0.84, 1.0, 0.94, 0.9692307692307692, 0.5714285714285714, 0.9629629629629629, 0.7, 1.0, 1.0, 1.0, 0.5, 0.6923076923076923]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026455026455026454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0, 0.0, 0.0]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.8084169756050434	0.19362272168304864	0.0003873334313149128	0.0015393975065779676	4.173085154470464
chr2_-_53765360_53765376	Exc_L5-6	[0.16666666666666666, 0.13333333333333333, 0.1, 0.6, 0.2682926829268293, 0.1891891891891892, 0.08823529411764706, 0.5]	[0.033074680845998676, 0.0, 0.051657983767669745, 0.006666666666666667, 0.0, 0.022486772486772486, 0.01553601737190658, 0.025150029708853237, 0.03143761000903858, 0.030303030303030304, 0.05235701493122091, 0.02431279956761795, 0.01580992757463346, 0.0, 0.0, 0.0, 0.059750733137829914, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.2557146457792082	0.17958100371901634	0.021867048706586102	0.0401023593389419	1.2708820226245074
