ME	condition	PSIs_condition	PSIs_background	Conditions_background	condition_mean	condition_std	background_mean	background_std	SSMD
chr4_-_12169957_12169978	L5a_Hsd11b1	[0.07749077490774908, 0.4768211920529801, 0.2446351931330472]	[0.0, 0.0, 0.0, 0.01746031746031746, 0.004708658638789644, 0.0, 0.01053790519516326, 0.0, 0.0, 0.010771135319487313, 0.0, 0.0024390243902439024, 0.0, 0.0021929824561403508, 0.0, 0.0, 0.0009765625, 0.0, 0.0, 0.007211538461538462, 0.014410885993321784, 0.005752460196815745, 0.0, 0.0017730496453900709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009322934138432293, 0.007134397383114319, 0.014230343300110741, 0.0, 0.013709510357815442, 0.005270783373301359]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	0.26631572003125886	0.16374518710338554	0.003279550995127747	0.00505942522411472	1.6056087124146692
chrX_-_75799716_75799743	L5a_Hsd11b1	[1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.04915769124551229, 0.0037974683544303796, 0.0, 0.012204468042476458, 0.0, 0.0, 0.012797619047619047, 0.005269768457841852, 0.0, 0.0, 0.0, 0.0015625, 0.0, 0.0, 0.0, 0.0, 0.00811175337186898, 0.02343880796919471, 0.021776620233970506, 0.0, 0.0011086474501108647, 0.003288633461047254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013477088948787063, 0.0, 0.0021929824561403508, 0.019588797150720413, 0.031231918630028523, 0.0022026431718061676, 0.0, 0.025756080864439996, 0.01422790984194493]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	1.0	0.0	0.00612979534984696	0.010914964682488034	91.05574168688958
chr15_-_64153843_64153852	L5a_Hsd11b1	[1.0, 0.9256965944272446, 0.971830985915493]	[0.0, 0.0, 0.0, 0.0, 0.011904761904761904, 0.0, 0.0, 0.011363636363636364, 0.0, 0.10930141287284144, 0.0, 0.0, 0.0, 0.0, 0.010638297872340425, 0.0, 0.08554221888805534, 0.0, 0.0078125, 0.17694964349376113, 0.07, 0.0, 0.0, 0.0, 0.03333333333333333, 0.03571428571428571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06031746031746032, 0.0, 0.0, 0.14652014652014653, 0.05014880952380952]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	0.9658425267809125	0.03062836650375214	0.02075760273857518	0.042100045528563966	18.15286905515355
chr9_-_40300439_40300451	L5a_Hsd11b1	[0.3712737127371274, 0.9071729957805907, 0.546875]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'liver-16.5_day', 'kidney-0_day', 'lung-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'kidney-16.5_day', 'lung-0_day', 'intestine-16.5_day', 'stomach-16.5_day']	0.608440569505906	0.2230691221767585	0.0	0.0	2.7275875906472686
chr1_-_161845559_161845580	L5a_Hsd11b1	[1.0, 1.0, 1.0]	[0.2838235294117647, 0.19098484848484848, 0.23717948717948717, 0.2660988399809312, 0.18816489361702127, 0.0670516304347826, 0.14285714285714285, 0.4117647058823529, 0.45454545454545453, 0.3414141414141414, 0.22532894736842105, 0.3557692307692308, 0.45, 0.3141821946169772, 0.3469387755102041, 0.1462148962148962, 0.3652014652014652, 0.3940196078431373, 0.2985294117647059, 0.29040404040404044, 0.38928571428571423, 0.1891891891891892, 0.40476190476190477, 0.3035270740188773, 0.8308891108891109, 0.2591297591297591, 0.27619047619047615, 0.46969696969696967, 0.2701612903225806, 0.4104575163398693, 0.07944250871080138, 0.3181818181818182, 0.21511470985155193, 0.2857142857142857, 0.2942307692307692, 0.2, 0.2526315789473684, 0.201638091440723, 0.16847826086956522]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	1.0	0.0	0.2971588274685215	0.13104628876969066	5.363304669899486
chr12_+_3754095_3754116	L5a_Hsd11b1	[1.0, 1.0, 1.0]	[0.42798901235113174, 0.3404123270787376, 0.4491351770719241, 0.08, 0.25145442792501616, 0.0, 0.12670454545454546, 0.024448419797257006, 0.019230769230769232, 0.2871610813731814, 0.4079939668174962, 0.4304158283031523, 0.01282051282051282, 0.2334395370980737, 0.2, 0.46387143240499623, 0.4419252749978657, 0.12591645922238026, 0.1361111111111111, 0.3757580457087846, 0.2577084126379901, 0.23286429018136337, 0.022108843537414963, 0.6053097345132743, 0.22016042780748662, 0.0636642156862745, 0.4721891685736079, 0.034523809523809526, 0.0894894894894895, 0.02631578947368421, 0.2930960548885077, 0.15128185440685443, 0.20043582543582542, 0.33230650750866386, 0.2831607012887989, 0.328544061302682, 0.27824463118580767, 0.2929244179244179, 0.48822628105376636]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	1.0	0.0	0.24377801141504238	0.16065936635781547	4.706989736911596
chr14_-_30050233_30050260	L5a_Hsd11b1	[1.0, 1.0]	[0.2727272727272727, 0.1111111111111111, 0.17647058823529413]	['lung-15.5_day', 'lung-16.5_day', 'stomach-16.5_day']	1.0	0.0	0.18676965735789264	0.06638021312850872	12.251095685211716
chr3_-_122552135_122552150	L5a_Hsd11b1	[1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009259259259259259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006756756756756757, 0.0, 0.003355704697986577, 0.0035211267605633804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	1.0	0.0	0.0006024433545938414	0.0019280143027110511	518.3558831695993
chrX_-_74232966_74232990	L5a_Hsd11b1	[1.0, 1.0]	[0.5893606887614182, 0.6495831973141979, 0.7544704569336301, 0.37030228758169936, 0.6108385216949106, 0.2376663359626548, 0.36732390486035266, 0.21009372746935834, 0.28528659037133614, 0.5871344701849152, 0.7142164304993253, 0.6639910813823857, 0.41666666666666663, 0.5076581190271869, 0.4971109839816934, 0.7493805863977978, 0.7726691266593531, 0.432052790236012, 0.49406243886366213, 0.6857949701619779, 0.554263565891473, 0.523570727518096, 0.24074074074074073, 0.7708974151421941, 0.3869259791414434, 0.24513027295285356, 0.6953976066691484, 0.11496784948797334, 0.588284822252644, 0.19012820512820514, 0.6859841978701477, 0.38510752688172045, 0.5129590770647857, 0.5386023318489055, 0.6012722958599248, 0.5265222514275356, 0.6735636107633363, 0.5133428600641715, 0.6915353367840336]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	1.0	0.0	0.5137143602179453	0.1780261519196567	2.7315404761515922
chr2_-_30346058_30346073	L5a_Hsd11b1	[1.0, 0.9073806078147613, 1.0]	[0.0291882095088232, 0.0, 0.055952380952380955, 0.09743589743589744, 0.04292557111274871, 0.12004324909064883, 0.05527660041077151, 0.06987295825771325, 0.016025641025641024, 0.08301674263238468, 0.06522284996861269, 0.038310158584233506, 0.060602438441310066, 0.022163763909046928, 0.03295791345583877, 0.01939304647478826, 0.06948477269362865, 0.06746531262271478, 0.020622895622895623, 0.022774327122153208, 0.07980557417871852, 0.0937233589087809, 0.0693021766965429, 0.015126692878986457, 0.04757949691504509, 0.02728743748161224, 0.0, 0.0, 0.10320261437908496, 0.13220244238046094, 0.030838530838530838, 0.03129216813434524, 0.02244360902255639, 0.07215503023639362, 0.06123792830183611, 0.06601731601731602, 0.025219941348973606, 0.03403346785699727, 0.07643180702459053]	['limb-10.5_day', 'limb-11.5_day', 'embryonic_facial_prominence-13.5_day', 'intestine-0_day', 'kidney-15.5_day', 'liver-8_week', 'stomach-0_day', 'liver-16.5_day', 'spleen-0_day', 'embryonic_facial_prominence-10.5_day', 'embryonic_facial_prominence-15.5_day', 'limb-15.5_day', 'liver-13.5_day', 'kidney-0_day', 'lung-15.5_day', 'limb-12.5_day', 'embryonic_facial_prominence-12.5_day', 'liver-12.5_day', 'liver-11.5_day', 'embryonic_facial_prominence-11.5_day', 'intestine-15.5_day', 'stomach-15.5_day', 'liver-15.5_day', 'limb-13.5_day', 'bladder-0_day', 'thymus-0_day', 'limb-14.5_day', 'liver-0_day', 'lung-16.5_day', 'liver-14.5_day', 'kidney-16.5_day', 'lung-0_day', 'lung-14.5_day', 'intestine-16.5_day', 'intestine-14.5_day', 'stomach-16.5_day', 'kidney-14.5_day', 'stomach-14.5_day', 'embryonic_facial_prominence-14.5_day']	0.969126869271587	0.043661200189039094	0.05068293133135907	0.03242811217991692	16.887375742441762
