ME	event	geneName	geneID	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	lengthDiff	mes3	mes5	conservation	neural_high_pred
chr1_+_65353105_65353109	putative_microexon_000715026	DNAJC6	ENSG00000116675	chr1	+	65254650	65353105	65353110	65364634	4	8.867523759865714	5.803994485594839	0.09713218352508507	0.00022197187
chr6_-_109450989_109451014	putative_microexon_000716496	MICAL1	ENSG00000135596	chr6	-	109451015	109451599	109450086	109450989	25	1.6878717477278706	5.262086290749209	0.09687564835685832	0.01817832
chr10_-_37853628_37853645	putative_microexon_000716992	ZNF248	ENSG00000198105	chr10	-	37853646	37856295	37838112	37853628	17	2.2657083103794955	7.074536950088218	0.09678378395887242	0.0017797404
chrX_-_85923678_85923681	putative_microexon_000769555	CHM	ENSG00000188419	chrX	-	85923682	85956152	85911339	85923678	3	0.9188791359207289	9.664477879726954	0.08759770168716773	0.01095629
chr11_+_13358220_13358225	putative_microexon_000771565	ARNTL	ENSG00000133794	chr11	+	13357097	13358220	13358226	13358433	5	5.090161812762278	7.19599346320882	0.08725287360821626	0.00330042
chr6_-_53276349_53276376	putative_microexon_000772835	ELOVL5	ENSG00000012660	chr6	-	53276377	53291775	53276257	53276349	27	7.527447677723428	8.88432800376615	0.08704615387981997	0.008688253
chr2_+_137475502_137475508	putative_microexon_000772875	THSD7B	ENSG00000144229	chr2	+	137451024	137475502	137475509	137563220	6	0.05473566786693312	5.6694371176612925	0.0870402294964444	0.029137893
chr22_-_35954273_35954283	putative_microexon_000554424	RBFOX2	ENSG00000100320	chr22	-	35954284	36028239	35938898	35954273	10	6.368792475620969	9.651496705972724	0.13174719129443127	0.027171051
chr12_-_57300665_57300673	putative_microexon_000557133	R3HDM2	ENSG00000179912	chr12	-	57300674	57303175	57300182	57300665	8	8.113543498472422	7.274418072347944	0.13106250040238426	0.00043869996
chr18_-_55601917_55601921	putative_microexon_000557225	TCF4	ENSG00000196628	chr18	-	55601922	55664674	55585353	55601917	4	0.6269699993471756	6.6000487114052895	0.13103448299506423	0.00020843465
chr12_+_4580977_4581004	putative_microexon_000609969	DYRK4	ENSG00000010219	chr12	+	4568049	4580977	4581005	4588936	27	0.7592414086055514	8.488541809266748	0.1184564100100826	0.00068117987
chr4_-_15980276_15980301	putative_microexon_000610526	PROM1	ENSG00000007062	chr4	-	15980302	15980421	15971083	15980276	25	8.853712724577026	6.597473066524099	0.11833678786896189	0.04545986
chr4_-_40953782_40953785	putative_microexon_000610995	APBB2	ENSG00000163697	chr4	-	40953786	41013582	40945071	40953782	3	5.482066634630379	5.489562243519604	0.11822988568194981	0.001986178
chr12_+_104081066_104081073	putative_microexon_000664215	HCFC2	ENSG00000111727	chr12	+	104080831	104081066	104081074	104082499	7	2.461693371561608	6.69344988749929	0.10692000035728727	0.14300741
chr2_-_43916068_43916071	putative_microexon_000665189	LRPPRC	ENSG00000138095	chr2	-	43916072	43918024	43912559	43916068	3	2.226190488793833	5.284504573862949	0.10671839074047025	0.00029010914
chr2_-_224559742_224559746	putative_microexon_000665861	CUL3	ENSG00000036257	chr2	-	224559747	224584943	224535642	224559742	4	5.067171298632345	5.166809445781249	0.10658045957633026	0.0016434462
chrX_-_17851773_17851776	putative_microexon_000011816	RAI2	ENSG00000131831	chrX	-	17851777	17861097	17802035	17851773	3	0.7653547524022886	5.263432974140084	0.8379022994777188	0.0003204895
chr2_-_141058796_141058799	putative_microexon_000012329	LRP1B	ENSG00000168702	chr2	-	141058800	141810278	140982277	141058796	3	2.440253468275467	6.51425660062021	0.8301494253669522	0.00046764556
chr18_+_34710445_34710450	putative_microexon_000012391	DTNA	ENSG00000134769	chr18	+	34679593	34710445	34710451	34755975	5	2.4810334961698253	6.82455301473033	0.8295632202021681	0.00049771776
chr6_+_83119622_83119644	putative_microexon_000013391	DOP1A	ENSG00000083097	chr6	+	83118988	83119622	83119645	83119774	22	1.6922939699554418	10.47145373488726	0.8150157887905248	0.01137338
chr9_-_131963153_131963157	putative_microexon_000013493	MED27	ENSG00000160563	chr9	-	131963158	132014336	131939475	131963153	4	3.0107914039850963	5.121728200263397	0.8136264381243783	0.0036909622
chr4_+_20527848_20527866	putative_microexon_000013805	SLIT2	ENSG00000145147	chr4	+	20524178	20527848	20527867	20528948	18	8.377768184108403	8.564414181738698	0.809327957470731	0.07959667
chr5_+_108748993_108748997	putative_microexon_000014110	FER	ENSG00000151422	chr5	+	108748001	108748993	108748998	108768092	4	0.49356078191459646	6.602217743630546	0.8051781607256538	0.00060725876
chr1_-_169925786_169925792	putative_microexon_000014632	KIFAP3	ENSG00000075945	chr1	-	169925793	169954010	169921782	169925786	6	0.0027198643954694478	9.651496705972724	0.797752875192412	0.18528795
chr17_-_3821110_3821114	putative_microexon_000014725	NCBP3	ENSG00000074356	chr17	-	3821115	3821248	3818573	3821110	4	6.516437136091285	9.72159298629212	0.7965459789245807	0.043597072
chr12_-_26769348_26769363	putative_microexon_000015247	ITPR2	ENSG00000123104	chr12	-	26769364	26832689	26725766	26769348	15	4.530980349994045	8.88432800376615	0.7895191270308416	0.0018264714
chr5_+_135581841_135581844	putative_microexon_001491560	SLC25A48	ENSG00000145832	chr5	+	135579598	135581841	135581845	135629236	3	0.6859451453455563	6.842372892947194	0.017459770212961554	0.0038114097
chr7_+_30396110_30396114	putative_microexon_001546629	AC006978.2	ENSG00000281593	chr7	+	30366296	30396110	30396115	30411897	4	3.9209609598112785	7.699789003294772	0.014752873584183854	0.00013755543
chr3_-_177045634_177045640	putative_microexon_001546632	TBL1XR1	ENSG00000177565	chr3	-	177045641	177046128	177038429	177045634	6	3.096107744426381	8.159525528108139	0.014752873544040639	0.0003956523
chr22_-_20709499_20709512	putative_microexon_001547060	PI4KA	ENSG00000241973	chr22	-	20709513	20709907	20709380	20709499	13	1.2614225834071349	7.865704649796326	0.014734806679446476	0.002455017
chr9_-_120471549_120471552	putative_microexon_001547257	CDK5RAP2	ENSG00000136861	chr9	-	120471553	120471747	120470218	120471549	3	3.9647628019746843	6.226226559920013	0.014724138034266773	0.0031777266
chr3_+_10822139_10822142	putative_microexon_001668288	SLC6A11	ENSG00000132164	chr3	+	10819853	10822139	10822143	10823301	3	1.7205498388098377	5.411390561438462	0.009528735681335259	0.0013846436
chr6_-_79203033_79203047	putative_microexon_001669128	HMGN3	ENSG00000118418	chr6	-	79203048	79203579	79202390	79203033	14	8.551547747174556	6.6182604278355095	0.009494505520746276	0.0016845231
chr10_-_20798372_20798376	putative_microexon_001669166	NEBL	ENSG00000078114	chr10	-	20798377	20812768	20787309	20798372	4	9.13372683539257	5.772977684631456	0.009494252967241424	0.00024099785
chr1_+_107184859_107184864	putative_microexon_001669172	NTNG1	ENSG00000162631	chr1	+	107148840	107184859	107184865	107324281	5	0.20583073735277382	6.4892748367777076	0.00949425293311969	5.996965e-05
chr4_+_165213943_165213947	putative_microexon_001671400	KLHL2	ENSG00000109466	chr4	+	165207903	165213943	165213948	165219933	4	0.17366810537411234	6.947264479015271	0.009402298944568711	0.00040489197
chr1_-_201376208_201376212	putative_microexon_001349351	TNNT2	ENSG00000118194	chr1	-	201376213	201377622	201373265	201376208	4	3.625150339032524	6.776469351134472	0.0255689656230803	0.00886473
chr14_-_72878710_72878714	putative_microexon_001349708	DPF3	ENSG00000205683	chr14	-	72878715	72894056	72771894	72878710	4	11.671830208888537	8.568807833330522	0.025545977139658154	0.0036513
chr11_-_30564543_30564549	putative_microexon_001350059	MPPED2	ENSG00000066382	chr11	-	30564550	30580245	30536176	30564543	6	1.9647689650937454	6.51425660062021	0.025522988729831903	0.0020362476
chr5_-_41851690_41851711	putative_microexon_001402398	OXCT1	ENSG00000083720	chr5	-	41851712	41853418	41850180	41851690	21	9.912997094693699	7.699789003294772	0.02233333338887268	0.03286631
chr6_+_124026258_124026285	putative_microexon_001404350	NKAIN2	ENSG00000188580	chr6	+	123804255	124026258	124026286	124283004	27	11.982033717447607	5.022593926316352	0.022220512964906028	0.037461903
chr4_+_57013806_57013809	putative_microexon_001693976	POLR2B	ENSG00000047315	chr4	+	57011101	57013806	57013810	57015501	3	4.16824296419704	6.289461746293162	0.008522988578716785	0.00026333547
chr15_+_57035852_57035855	putative_microexon_000357510	TCF12	ENSG00000140262	chr15	+	56921099	57035852	57035856	57091788	3	4.516569403671981	10.032609089655015	0.19566091987767376	0.0003590122
chr22_-_19939485_19939488	putative_microexon_000358411	TXNRD2	ENSG00000184470	chr22	-	19939489	19941700	19919005	19939485	3	0.3326832836261123	8.763777214457557	0.19527011540258069	0.00014956648
chrX_-_109686467_109686470	putative_microexon_000359147	ACSL4	ENSG00000068366	chrX	-	109686471	109733138	109683373	109686467	3	0.19377656040612123	5.871567630683042	0.19495402344759424	0.0016376419
chr8_+_120454195_120454211	putative_microexon_000333826	MTBP	ENSG00000172167	chr8	+	120453906	120454195	120454212	120455434	16	3.3098300547902193	5.661776646704644	0.20614673953526147	0.12780839
chr9_+_68889214_68889241	putative_microexon_000334922	PIP5K1B	ENSG00000107242	chr9	+	68889134	68889214	68889242	68894338	27	11.32738277146517	8.722870180645891	0.20564102623134087	0.046991017
