ME	condition	PSIs_condition	PSIs_background	Conditions_background	condition_mean	condition_std	background_mean	background_std	SSMD
chr4_+_88676217_88676241	CS1910121076	[1.0, 1.0, 1.0]	[0.5897345452901008, 0.7333333333333333, 0.6713602187286397, 0.7309523809523809, 1.0, 1.0, 0.45238095238095233, 0.4570526474091839, 0.6580321852060982, 0.7049021457013024, 0.6224196855775803, 0.9047619047619048, 0.9166666666666666, 0.7127192982456141, 0.8383838383838385, 0.9047619047619048, 1.0, 1.0, 0.45238095238095233, 0.9310344827586207, 0.7391304347826086, 0.6363636363636364, 0.6]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	1.0	0.0	0.7502770092906661	0.17759696856023935	1.4061219216398395
chr8_+_42396677_42396680	CS1910121076	[1.0, 1.0, 0.9976580796252927]	[0.39999999999999997, 0.22291666666666668, 0.0012173038229376257, 0.0013459642737209277, 0.014492753623188406, 0.10932726753209904, 0.11801345346274823, 0.02892041684714878, 0.0, 0.0, 0.06695813703399377, 0.046913108372604616, 0.08710103481406739, 0.38745019920318724, 0.51986909770921, 0.5866979091564528, 0.03407960199004975, 0.29081632653061223, 0.023235499650593988, 0.6385850991114148, 0.2740622788393489, 0.11415362731152205, 0.013333333333333334, 0.053759398496240604, 0.2054000565450947]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.9992193598750975	0.0011039918519696306	0.16954594137304946	0.1922817639562046	4.314812422146814
chr5_+_67094156_67094165	CS1910121076	[1.0, 1.0, 0.6]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'embryonic_stem_cells', 'human-induced_pluripotent_stem_cell_HiPSC', 'colon', 'white_blood_cells', 'thyroid', 'testes', 'adipose']	0.8666666666666667	0.1885618083164127	0.0	0.0	4.596194077712559
chr10_+_78037964_78037982	CS1910121076	[1.0, 1.0, 1.0]	[0.5231144085221943, 0.010627124354056805, 0.07144866546888122, 0.013952276537753596, 0.023020906741836974, 0.0822459976301473, 0.19517928587739608, 0.010823874525237477, 0.03250494102994885, 0.30779401671444145, 0.0014755530480200394, 0.0, 0.12477695259876787, 0.6643192488262911, 0.9154533510719867, 0.9831006612784717, 0.3333333333333333, 0.5159301130524152, 0.2992981385413488, 0.9203899268887084, 0.5225109461260232, 0.6179226372148363, 0.014332965821389196, 0.0, 0.593052738336714]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	1.0	0.0	0.311064322541608	0.32146691310396064	2.1430998008668904
chr13_+_35168986_35168995	CS1910121076	[1.0, 0.9766536964980544, 0.9830508474576272]	[0.8670116386587315, 0.8217475474171363, 0.7295994576301482, 0.8064516129032258, 0.6336363636363637, 0.685401351193779, 0.40715151515151515, 0.796031746031746, 0.6, 0.8139682539682539, 0.6845263281990683, 0.8274376417233561, 0.34494884910485935, 1.0, 0.0, 0.7653061224489797, 0.0, 1.0, 1.0, 0.625]	['Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'lung', 'kidney', 'thyroid', 'ovary']	0.9865681813185606	0.009850252109064355	0.6704109214033581	0.27950245960729014	1.1304412439571643
chr1_-_201362385_201362391	CS1910121076	[1.0, 1.0, 1.0]	[0.0, 0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	['Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'prostate', 'lung', 'kidney', 'testes', 'ovary']	1.0	0.0	0.009444444444444445	0.027971546389275785	35.41297080147603
chr8_-_143592646_143592660	CS1910121076	[1.0, 1.0, 1.0]	[0.2214069617579716, 0.0045108940374423406, 0.0333381760203626, 0.017834870247964176, 0.016129032258064516, 0.0017123287671232876, 0.0, 0.045084583270383116, 0.02605965752451655, 0.018639354772114272, 0.032759496085771916, 0.058312497224428626, 0.0030364286182700505, 0.046479378032842626, 0.07315047511765228, 0.2052703505644682, 0.0, 0.0, 0.0015384615384615385, 0.0, 0.0, 0.0, 0.0, 0.002717391304347826, 0.038461538461538464, 0.0, 0.0, 0.0319337670017741]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'Fibroblast_line_2', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	1.0	0.0	0.031370558664482066	0.05440483212890207	17.80410679405336
chr7_+_143387761_143387787	CS1910121076	[0.8461538461538461, 1.0, 0.9310344827586207]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0026455026455026454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0, 0.0, 0.0]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.9257294429708223	0.06291935234184685	0.0003873334313149128	0.0015393975065779676	14.702396747785654
chr17_-_78696006_78696009	CS1910121076	[0.75, 1.0, 1.0]	[0.8757593968531469, 0.30411255411255406, 0.020843948510651585, 0.015151515151515152, 0.0, 0.7129737579242224, 0.514726507713885, 0.09602130325814537, 0.062307444288607544, 0.4937895179869772, 0.028985507246376812, 0.08333333333333333, 0.9191366024261516, 0.7598746032887296, 0.08442982456140351, 0.6558441558441558, 0.8385620915032679, 0.7894736842105263, 0.225, 1.0, 0.757469654528478, 0.7355889724310777, 0.8730582524271844, 0.9529914529914529, 0.4388888888888889, 0.8878048780487805, 0.34907120743034054, 0.7684210526315789]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'Fibroblast_line_2', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.9166666666666666	0.11785113019775792	0.5087007181282653	0.34678792095374267	1.113851672861699
chr20_+_2975214_2975241	CS1910121076	[0.8857142857142857, 0.65, 0.7857142857142857]	[0.042297435664035585, 0.019290881552976268, 0.07952045165616217, 0.13186551514796727, 0.14285714285714285, 0.014492753623188406, 0.08236350783577212, 0.14165595290169444, 0.06865211836486886, 0.08615567439096851, 0.020833333333333332, 0.1447572087320133, 0.17679389041859328, 0.31160955964877535, 0.07453996983408748, 0.04081632653061224, 0.2475633528265107, 0.12012670565302144, 0.11654135338345864, 0.09195402298850575, 0.023255813953488372, 0.11063829787234043, 0.20526315789473684, 0.08537581699346405, 0.022222222222222223, 0.0, 0.07576250949744925]	['Fibroblast', 'Fetal_Lung_Fibroblast', 'iPSC', 'Induced_pluripotent_stem_cells', 'human_embryonic_stem_cells', 'Fibroblast_line_1', 'H9_ESCs', 'embryonic_stem_cells', 'Human_pluripotent_stem_cell_line', 'H9_ES_cells', 'Human_ESC', 'human-induced_pluripotent_stem_cell_HiPSC', 'Astrocyte', 'iPS_Cell', 'Induced_pluripotent_stem_cells_cell_line', 'breast', 'colon', 'prostate', 'white_blood_cells', 'lung', 'kidney', 'thyroid', 'lymph_node', 'testes', 'adipose', 'liver', 'ovary']	0.7738095238095237	0.09659744178619424	0.099155739843607	0.0728208426187978	5.5769957363584295
