ME	event	geneName	geneID	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	lengthDiff	mes3	mes5	conservation	neural_high_pred
chrX_-_85923678_85923681	putative_microexon_000769555	CHM	ENSG00000188419	chrX	-	85923682	85956152	85911339	85923678	3	0.9188791359207289	9.664477879726954	0.08759770168716773	0.01095629
chr11_+_13358220_13358225	putative_microexon_000771565	ARNTL	ENSG00000133794	chr11	+	13357097	13358220	13358226	13358433	5	5.090161812762278	7.19599346320882	0.08725287360821626	0.00330042
chr2_+_137475502_137475508	putative_microexon_000772875	THSD7B	ENSG00000144229	chr2	+	137451024	137475502	137475509	137563220	6	0.05473566786693312	5.6694371176612925	0.0870402294964444	0.029137893
chr4_-_40953782_40953785	putative_microexon_000610995	APBB2	ENSG00000163697	chr4	-	40953786	41013582	40945071	40953782	3	5.482066634630379	5.489562243519604	0.11822988568194981	0.001986178
chr6_+_83119622_83119644	putative_microexon_000013391	DOP1A	ENSG00000083097	chr6	+	83118988	83119622	83119645	83119774	22	1.6922939699554418	10.47145373488726	0.8150157887905248	0.01137338
chr4_+_20527848_20527866	putative_microexon_000013805	SLIT2	ENSG00000145147	chr4	+	20524178	20527848	20527867	20528948	18	8.377768184108403	8.564414181738698	0.809327957470731	0.07959667
chr1_-_169925786_169925792	putative_microexon_000014632	KIFAP3	ENSG00000075945	chr1	-	169925793	169954010	169921782	169925786	6	0.0027198643954694478	9.651496705972724	0.797752875192412	0.18528795
chr17_-_3821110_3821114	putative_microexon_000014725	NCBP3	ENSG00000074356	chr17	-	3821115	3821248	3818573	3821110	4	6.516437136091285	9.72159298629212	0.7965459789245807	0.043597072
chr7_+_30396110_30396114	putative_microexon_001546629	AC006978.2	ENSG00000281593	chr7	+	30366296	30396110	30396115	30411897	4	3.9209609598112785	7.699789003294772	0.014752873584183854	0.00013755543
chr9_-_120471549_120471552	putative_microexon_001547257	CDK5RAP2	ENSG00000136861	chr9	-	120471553	120471747	120470218	120471549	3	3.9647628019746843	6.226226559920013	0.014724138034266773	0.0031777266
chr4_+_165213943_165213947	putative_microexon_001671400	KLHL2	ENSG00000109466	chr4	+	165207903	165213943	165213948	165219933	4	0.17366810537411234	6.947264479015271	0.009402298944568711	0.00040489197
chr11_-_30564543_30564549	putative_microexon_001350059	MPPED2	ENSG00000066382	chr11	-	30564550	30580245	30536176	30564543	6	1.9647689650937454	6.51425660062021	0.025522988729831903	0.0020362476
chr22_-_19939485_19939488	putative_microexon_000358411	TXNRD2	ENSG00000184470	chr22	-	19939489	19941700	19919005	19939485	3	0.3326832836261123	8.763777214457557	0.19527011540258069	0.00014956648
chrX_-_109686467_109686470	putative_microexon_000359147	ACSL4	ENSG00000068366	chrX	-	109686471	109733138	109683373	109686467	3	0.19377656040612123	5.871567630683042	0.19495402344759424	0.0016376419
chr3_+_50579719_50579740	putative_microexon_000877959	HEMK1	ENSG00000114735	chr3	+	50577574	50579719	50579741	50579843	21	9.0922560218552	8.45576761272727	0.07104761882318016	0.00327433
chr5_-_88879636_88879639	putative_microexon_000205176	MEF2C	ENSG00000081189	chr5	-	88879640	88887501	88823928	88879636	3	1.3136092749600887	8.347518499340195	0.2833965521181355	0.0003258823
chr17_-_76156370_76156375	putative_microexon_000205776	RNF157	ENSG00000141576	chr17	-	76156376	76158392	76156322	76156370	5	8.127888337772514	6.6000487114052895	0.28292528741414946	0.3078603
chr1_+_35818269_35818274	putative_microexon_000207651	AGO4	ENSG00000134698	chr1	+	35817048	35818269	35818275	35822861	5	1.158620659735007	8.4085596643448	0.28141953977060385	0.00011356537
chr3_-_48715185_48715188	putative_microexon_000180600	IP6K2	ENSG00000068745	chr3	-	48715189	48717156	48695419	48715185	3	3.375718982346253	7.308951575758379	0.3045632181857745	0.0002702987
chr9_+_68268820_68268830	putative_microexon_000182140	CBWD3	ENSG00000196873	chr9	+	68264515	68268820	68268831	68268933	10	8.44129968873513	6.571366794511985	0.30311236003076325	0.013754883
chr10_-_21852523_21852548	putative_microexon_000185692	DNAJC1	ENSG00000136770	chr10	-	21852549	21882281	21806100	21852523	25	10.481671360037703	8.548668734483728	0.29989637400583397	0.0035258988
chr4_+_25164954_25164958	putative_microexon_000188069	PI4K2B	ENSG00000038210	chr4	+	25160754	25164954	25164959	25252320	4	4.543685310748098	9.368761736621076	0.29779885067261924	0.00012684923
chr14_-_36723703_36723724	putative_microexon_000210800	SLC25A21	ENSG00000183032	chr14	-	36723725	36725569	36711483	36723703	21	5.331937300977524	7.607747937645244	0.27894179702541794	0.20553741
chr3_-_16511156_16511159	putative_microexon_000871665	RFTN1	ENSG00000131378	chr3	-	16511160	16513822	16493878	16511156	3	1.0211392135983244	5.397415546429756	0.07193678090330106	0.003207038
chr19_-_11432722_11432725	putative_microexon_000872768	CCDC151	ENSG00000198003	chr19	-	11432726	11435689	11431021	11432722	3	0.17107272256808137	5.406612525625726	0.07177586226935509	0.0003262121
chr21_+_17922101_17922104	putative_microexon_000872841	CHODL	ENSG00000154645	chr21	+	17917401	17922101	17922105	18256508	3	0.34672822014928284	6.7493049962430405	0.07176436745259247	4.1806838e-05
chr5_+_141933950_141933961	putative_microexon_000332517	DELE1	ENSG00000081791	chr5	+	141933402	141933950	141933962	141934257	11	2.850842161752527	9.787718441202394	0.20672066997367286	0.012096271
chr1_-_28056631_28056637	putative_microexon_000353694	EYA3	ENSG00000158161	chr1	-	28056638	28057993	28038906	28056631	6	3.3893524396066734	10.567103914447587	0.19729310299481276	0.024949335
chr10_-_67963989_67963995	putative_microexon_000354535	HERC4	ENSG00000148634	chr10	-	67963996	67966682	67956977	67963989	6	1.265017906450319	6.934579156800192	0.19691379264534997	0.00096264575
chr16_+_81268604_81268623	putative_microexon_001691330	BCO1	ENSG00000135697	chr16	+	81268132	81268604	81268624	81270158	19	10.186354250099473	6.933157853562895	0.008625668471051569	0.012742543
chr16_-_700499_700504	putative_microexon_001691457	FBXL16	ENSG00000127585	chr16	-	700505	705511	697420	700499	5	0.10049877491896571	5.6532466173173335	0.008620689693308467	0.0060322983
chr18_-_24314699_24314712	putative_microexon_001665538	OSBPL1A	ENSG00000141447	chr18	-	24314713	24317148	24314348	24314699	13	2.88304007118614	10.512265424312053	0.00963535919034267	0.6148623
chr20_+_34413163_34413167	putative_microexon_001667982	ITCH	ENSG00000078747	chr20	+	34412640	34413163	34413168	34413741	4	1.7501529435074403	7.878956672243344	0.009540229916690323	0.00018828457
chr10_-_45846516_45846540	putative_microexon_001498315	AGAP4	ENSG00000188234	chr10	-	45846541	45847124	45841688	45846516	24	9.210695805195252	10.858313101356437	0.017109375001382432	0.4121174
chr2_+_203097616_203097633	putative_microexon_000008074	NBEAL1	ENSG00000144426	chr2	+	203084570	203097616	203097634	203099628	17	3.1327664474924486	7.330510162596465	0.8991405411145171	0.025187891
chr12_+_95487637_95487659	putative_microexon_000008601	METAP2	ENSG00000111142	chr12	+	95485982	95487637	95487660	95494055	22	12.068898159065224	7.133024532926153	0.89031052798719	0.33681598
chr3_+_2227606_2227630	putative_microexon_000009566	CNTN4	ENSG00000144619	chr3	+	2098979	2227606	2227631	2339177	24	3.430564274485375	10.238510699199464	0.874057293132258	0.06864101
chr18_+_8249075_8249099	putative_microexon_000011708	PTPRM	ENSG00000173482	chr18	+	8247920	8249075	8249100	8296367	24	3.353741830677074	7.8441779914127805	0.8396510427507261	0.021994209
chrX_+_54536925_54536928	putative_microexon_000660834	GNL3L	ENSG00000130119	chrX	+	54532586	54536925	54536929	54539039	3	3.3734356248712714	6.912617107862591	0.10760344809989028	0.002532342
chr9_+_36057361_36057372	putative_microexon_000605729	RECK	ENSG00000122707	chr9	+	36052324	36057361	36057373	36058826	11	7.468890734123434	8.077039848725997	0.1194078210330251	0.48422772
chr3_-_56448386_56448390	putative_microexon_000718517	ERC2	ENSG00000187672	chr3	-	56448391	56468247	56435148	56448386	4	2.3812553612359233	6.329499951376355	0.09650574730650319	0.00061259576
chr18_+_9516605_9516609	putative_microexon_000720669	RALBP1	ENSG00000017797	chr18	+	9513290	9516605	9516610	9516844	4	3.2403088736962173	6.059786607965471	0.09612643690552326	0.002228377
chr14_+_61066211_61066215	putative_microexon_000767549	SLC38A6	ENSG00000139974	chr14	+	61052136	61066211	61066216	61078829	4	2.0485308866368857	8.235270272955011	0.08795402314441664	0.00035420954
chr5_+_7483355_7483360	putative_microexon_000767658	ADCY2	ENSG00000078295	chr5	+	7414771	7483355	7483361	7520737	5	0.9265796732133835	5.910869461122559	0.08793103449707637	0.0001725816
chr8_+_42396293_42396296	putative_microexon_000713742	VDAC3	ENSG00000078668	chr8	+	42394279	42396293	42396297	42398711	3	3.6762210821295884	7.332814208048481	0.09736781618517727	0.0033060089
chr1_+_13609654_13609663	putative_microexon_000613011	PDPN	ENSG00000162493	chr1	+	13607307	13609654	13609664	13613686	9	6.837132773711463	8.311550650987137	0.11777401097266182	0.19271608
chr12_+_49485386_49485406	putative_microexon_000614494	SPATS2	ENSG00000123352	chr12	+	49484670	49485386	49485407	49489464	20	2.046361892685354	5.5904099433560175	0.1174521280992578	5.6710014e-05
chr1_+_237282704_237282707	putative_microexon_000615303	RYR2	ENSG00000198626	chr1	+	237270617	237282704	237282708	237330877	3	4.551003480968535	5.1905922953981865	0.11728160873780712	0.0007107777
chr7_-_132815628_132815631	putative_microexon_000559999	CHCHD3	ENSG00000106554	chr7	-	132815632	132838398	132796578	132815628	3	7.910503618881322	5.630566612446825	0.13032183889634158	0.011730551
chr1_-_35181130_35181134	putative_microexon_000000199	SFPQ	ENSG00000116560	chr1	-	35181135	35187000	35178037	35181130	4	4.7216393945751784	6.249628809178463	0.9999367824231071	0.0022864812
chr18_-_54187837_54187854	putative_microexon_000000631	MBD2	ENSG00000134046	chr18	-	54187855	54188873	54166167	54187837	17	4.714622520309146	9.60237117249817	0.9994864872983984	0.0010322429
chr8_+_132813883_132813903	putative_microexon_000002181	PHF20L1	ENSG00000129292	chr8	+	132811129	132813883	132813904	132814636	20	4.7461516624504485	8.375679825370613	0.9928617036723076	0.009128596
chrX_+_150640435_150640454	putative_microexon_000002378	MTM1	ENSG00000171100	chrX	+	150639027	150640435	150640455	150641268	19	7.531389620318758	6.82455301473033	0.9914545477392839	0.005053794
chr15_+_67777516_67777539	putative_microexon_000003491	MAP2K5	ENSG00000137764	chr15	+	67772753	67777516	67777540	67806645	23	9.0605101446181	7.991511562186616	0.9776596857615166	0.5197941
chr14_+_93472575_93472593	putative_microexon_000003786	UNC79	ENSG00000133958	chr14	+	93467792	93472575	93472594	93474247	18	0.9699118390267852	8.394912539714692	0.972758065308294	0.044986516
chr12_-_119697361_119697364	putative_microexon_001561793	CIT	ENSG00000122966	chr12	-	119697365	119850173	119688065	119697361	3	3.1266227143671315	6.4892748367777076	0.014051724232642258	0.00014165617
chr18_-_31640957_31640962	putative_microexon_001504515	B4GALT6	ENSG00000118276	chr18	-	31640963	31645354	31631147	31640957	5	4.138038483841111	8.541726142813562	0.01679885059182971	0.002132086
chr18_+_58057184_58057188	putative_microexon_001696545	NEDD4L	ENSG00000049759	chr18	+	58044709	58057184	58057189	58390645	4	9.64574675896327	5.565347503530755	0.008425287351724103	0.00117819
chr21_+_45929627_45929630	putative_microexon_001698815	PCBP3	ENSG00000183570	chr21	+	45917630	45929627	45929631	45929919	3	4.604804719994742	7.538220762487686	0.008339080544076217	0.0046854927
chr4_+_153248383_153248388	putative_microexon_001675844	TRIM2	ENSG00000109654	chr4	+	153152613	153248383	153248389	153275892	5	0.08710585279140796	8.8784602172727	0.009229885120528225	0.00020265259
chr3_-_60136098_60136104	putative_microexon_001447647	FHIT	ENSG00000189283	chr3	-	60136105	60536859	60014153	60136098	6	3.7001995302370037	5.948041676387259	0.019770115046579946	0.00025347082
chr18_+_34756889_34756906	putative_microexon_000362192	DTNA	ENSG00000134769	chr18	+	34756044	34756889	34756907	34765960	17	0.6118300738529304	7.358283052585934	0.19366486377988917	0.033434305
chr8_-_119816998_119817002	putative_microexon_000863924	TAF2	ENSG00000064313	chr8	-	119817003	119831676	119806402	119816998	4	2.138183987161788	5.411390561438462	0.07302298903767683	0.0073110685
chr4_-_67532855_67532877	putative_microexon_000312583	CENPC	ENSG00000145241	chr4	-	67532878	67539839	67530915	67532855	22	9.665227938637706	7.441521981612196	0.2162736850006408	0.005283258
chr16_+_1976314_1976317	putative_microexon_000203984	TBL3	ENSG00000183751	chr16	+	1976258	1976314	1976318	1976813	3	7.398205771115514	5.800298824625148	0.28437356492999577	0.0074626356
chr16_+_57460025_57460050	putative_microexon_000197756	COQ9	ENSG00000088682	chr16	+	57452916	57460025	57460051	57461171	25	4.030689821894354	6.934579156800192	0.28950259169090753	0.0032738505
chr3_+_56605902_56605906	putative_microexon_000198710	CCDC66	ENSG00000180376	chr3	+	56594029	56605902	56605907	56613610	4	7.071662631681618	7.81338547511576	0.2886724138910743	0.0021246711
chr4_-_17866998_17867025	putative_microexon_000198919	LCORL	ENSG00000178177	chr4	-	17867026	17909093	17845902	17866998	27	11.604943871756142	11.078494497844932	0.2884871796507818	0.030480435
chr7_+_100198361_100198370	putative_microexon_000922449	STAG3	ENSG00000066923	chr7	+	100198167	100198361	100198371	100198474	9	8.087985309809813	5.906017122277897	0.06512994356098253	0.047885865
chr21_+_37092100_37092103	putative_microexon_000306363	TTC3	ENSG00000182670	chr21	+	37073365	37092100	37092104	37108391	3	0.10381915570834863	8.772055361498861	0.21934482885521955	0.0026866295
chr17_-_16035964_16035967	putative_microexon_000309399	NCOR1	ENSG00000141027	chr17	-	16035968	16039432	16034942	16035964	3	1.1731141709350836	10.064665531230562	0.2178620692207371	0.0016748777
