event	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	geneName	lengthDiff	label
MmuEX1009499	chr5	-	110689275	110691618	110688304	110689271	Ep400	3	nd
MmuEX0036919	chrX	-	135620873	135624105	135619591	135620848	Prame	24	
MmuEX1014871	chr16	-	75760139	75761095	75759583	75760135	Hspa13	3	nd
MmuEX0032398	chr12	+	89513113	89517905	89517933	89532890	Nrxn3	27	
MmuEX1027942	chr7	-	30243746	30243832	30243535	30243723	Wdr62	22	
MmuEX0003015	chr10	+	80007229	80007429	80007452	80007653	Abca7	22	
MmuEX1018557	chr11	-	78606420	78618274	78590990	78606416	Nlk	3	nd
MmuEX1010931	chr16	+	70529011	70540611	70540615	70561023	Gbe1	3	nd
MmuEX0018348	chr15	-	63957668	63970929	63956683	63957653	Fam49b	14	nd
MmuEX1002344	chrX	+	13042110	13042359	13042368	13043556	5730405O15Rik	8	hi
MmuEX1002403	chr4	+	115898275	115898275	115898288	115898288	6430628N08Rik	12	
MmuEX6012987	chr7	-	107792141	107793233	107790414	107792116	Ovch2	24	
MmuEX1001327	chr1	+	57379813	57380073	57380079	57382742	1700066M21Rik	5	
MmuEX1021217	chr4	-	118215137	118217091	118213865	118215133	Ptprf	3	nd
MmuEX6066812	chr9	+	66250386	66251074	66251102	66254470	Dapk2	27	nd
MmuEX0005383	chr3	-	127820786	127822583	127817007	127820759	Ap1ar	26	nd
MmuEX1027034	chr12	+	85996197	86007340	86007344	86012647	Ttll5	3	nd
MmuEX0022639	chr15	+	76432296	76432371	76432399	76433273	Mroh1	27	lo
MmuEX0013421	chr7	-	45808733	45810126	45808450	45808729	Cyth2	3	nd
MmuEX1023705	chr18	+	57936431	57936528	57936553	57937659	Slc12a2	24	
MmuEX0026711	chr3	-	148860439	148865599	148859534	148860426	Adgrl2	12	
MmuEX1027538	chr7	+	112087106	112087314	112087318	112087765	Usp47	3	nd
MmuEX6048683	chr10	-	61893942	61894033	61892983	61893914	Col13a1	27	
MmuEX1025440	chr12	+	24501883	24504832	24504855	24504946	Taf1b	22	
MmuEX0025108	chr18	+	45677065	45680472	45680482	45683070	Kcnn2	9	hi
MmuEX0008808	chr5	+	16340784	16341989	16342011	16342682	Cacna2d1	21	hi
MmuEX1001128	chr1	-	53181958	53182494	53181896	53181954	1700019A02Rik	3	
MmuEX1003590	chr17	-	32333684	32333905	32333145	32333680	Akap8l	3	nd
MmuEX1016221	chr15	-	99834378	99843674	99826838	99834374	Lima1	3	nd
MmuEX7034190	chr8	-	74601551	74631504	74601414	74601528	Gm11033	22	
MmuEX1024626	chr13	+	59714712	59714880	59714885	59715377	Spata31d1b	4	
MmuEX1024728	chr10	+	60107132	60115072	60115082	60129174	Spock2	9	
MmuEX6011007	chr7	+	49557973	49565084	49565109	49584049	Nav2	24	nd
MmuEX7006737	chr11	+	51441515	51551133	51551161	51553835	Col23a1	27	nd
MmuEX0008886	chr14	-	12441867	12449721	12440916	12441851	Cadps	15	
MmuEX7000058	chr1	+	34289658	34295665	34295684	34307329	Dst	18	
MmuEX1024983	chr2	+	14141878	14144868	14144872	14146218	Stam	3	nd
MmuEX1016007	chr16	+	88820652	88829085	88829096	88829314	Krtap15	10	
MmuEX0013651	chr7	-	126974713	126974939	126974511	126974678	D830044I16Rik	20	
MmuEX0051339	chr5	+	137028678	137029622	137029636	137030259	Vgf	13	
MmuEX0037910	chr4	-	118227846	118230694	118226572	118227818	Ptprf	27	hi
MmuEX1023836	chr11	+	120495488	120495789	120495794	120496422	Slc25a10	4	nd
MmuEX1025236	chr3	-	102921808	102922387	102920638	102921790	Sycp1	17	
MmuEX0009244	chrX	-	13596695	13600356	13586966	13596685	Cask	9	
MmuEX0000824	chr11	-	120378447	120378541	120377662	120378422	Faap100	24	
MmuEX1015803	chr1	+	136145313	136145783	136145793	136147497	Kif21b	9	nd
MmuEX0036794	chr14	-	20511501	20515522	20509501	20511473	Ppp3cb	27	nd
MmuEX1006089	chr6	+	147590638	147591508	147591512	147592038	Ccdc91	3	nd
MmuEX0023183	chr8	-	26045912	26048251	26044275	26045905	Hook3	6	hi
MmuEX1015205	chr1	+	37372420	37372592	37372599	37377577	Inpp4a	6	nd
MmuEX1011042	chr1	+	87327093	87333823	87333837	87334269	Gigyf2	13	nd
MmuEX0026085	chr1	-	153230622	153230721	153229192	153230596	Lamc1	25	nd
MmuEX0048847	chr11	+	58982224	58988724	58988748	58990186	Trim11	23	nd
MmuEX1022440	chr1	-	175073467	175076823	175059795	175073452	Rgs7	14	nd
MmuEX1014000	chr9	+	118539025	118539601	118539605	118548622	Golga4	3	nd
MmuEX0015866	chr2	-	122313445	122313669	122313049	122313421	Duoxa1	23	
MmuEX6077649	chr17	+	36852690	36856201	36856225	36856988	Trim26	23	
MmuEX6007075	chr6	-	125309220	125309458	125308147	125309193	Ltbr	26	nd
MmuEX6006769	chr6	+	121639568	121640984	121641006	121641271	A2m	21	nd
MmuEX1016800	chr17	-	24893834	24894130	24893643	24893825	Mapk8ip3	8	nd
MmuEX1011003	chr7	-	122016779	122020988	122012234	122016774	Gga2	4	nd
MmuEX1020100	chr11	+	75588353	75589086	75589090	75592188	Pitpna	3	nd
MmuEX1027347	chr8	-	71655509	71655662	71655205	71655502	Unc13a	6	nd
MmuEX0028957	chr4	-	155655261	155655521	155655171	155655251	Mib2	9	
MmuEX1007424	chr5	+	43235089	43235485	43235500	43237306	Cpeb2	14	
MmuEX0016933	chr19	+	43689905	43690018	43690044	43690178	Entpd7	25	
MmuEX1016782	chr4	-	126239598	126240022	126238633	126239585	Map7d1	12	nd
MmuEX1016287	chr1	+	24685574	24686815	24686819	24692940	Lmbrd1	3	nd
MmuEX1015203	chr7	-	126852992	126857225	126852845	126852985	Ino80e	6	
MmuEX6099613	chr2	+	25655389	25655481	25655508	25656102	Lcn8	26	
MmuEX0017296	chr2	+	156011407	156015376	156015392	156015988	Ergic3	15	hi
MmuEX1015011	chr17	+	25055758	25059843	25059853	25086842	Ift140	9	nd
MmuEX0006501	chr2	+	153352272	153354649	153354653	153357069	Asxl1	3	nd
MmuEX1005345	chr11	-	49173463	49174825	49173239	49173452	Btnl9	6	
MmuEX1005118	chr7	+	127907532	127907769	127907797	127907920	Bckdk	27	
MmuEX1024775	chr12	-	54655249	54656364	54650672	54655245	Sptssa	3	nd
MmuEX1009660	chr4	-	119181383	119182842	119180222	119181365	Ermap	17	
MmuEX6075980	chr17	-	25384452	25384545	25384089	25384426	Cacna1h	25	
MmuEX6040349	chr14	-	30922841	30923064	30922037	30922819	Itih3	21	nd
MmuEX0028907	chr11	+	116973432	116974187	116974198	116977680	Mgat5b	6	hi
MmuEX1022076	chr11	-	74388510	74388782	74388358	74388497	Rap1gap2	12	nd
MmuEX1001244	chr15	+	98406907	98409587	98409613	98411973	1700031M16Rik	25	
MmuEX1003441	chr5	+	90499730	90500493	90500497	90501406	Afp	3	nd
MmuEX1029184	chr4	-	140027830	140028048	140027763	140027826	Igsf21	3	nd
MmuEX0004765	chr1	-	59117342	59117974	59115930	59117330	Tmem237	11	
MmuEX1019397	chr1	-	97975676	97975784	97944678	97975666	Pam	9	nd
MmuEX1028523	chr7	+	25221505	25223512	25223535	25224114	Zfp526	22	ot
MmuEX0032311	chr12	+	44532660	44535056	44535075	44537250	Nrcam	18	hi
MmuEX1002219	chr11	+	25357632	25357833	25357838	25358154	4933427E13Rik	4	
MmuEX6020218	chr5	-	117106666	117108347	117105312	117106645	Suds3	20	nd
MmuEX1028831	chr5	-	136986830	136987488	136986256	136986810	Znhit1	19	
MmuEX1005425	chr9	-	44314231	44314879	44314039	44314224	C2cd2l	6	nd
MmuEX0051565	chr11	-	76163968	76166198	76163865	76163952	Vps53	15	
MmuEX0044238	chr9	-	88400750	88401919	88398372	88400722	Snx14	27	hi
MmuEX0026300	chr7	-	3663962	3665315	3663862	3663953	Leng1	8	nd
MmuEX1020559	chr3	+	54385755	54387041	54387055	54389338	Postn	13	nd
MmuEX6023324	chr1	+	24194767	24195516	24195538	24196890	Col9a1	21	lo
MmuEX1017961	chr11	+	60483807	60486892	60486899	60487150	Myo15	6	
MmuEX0033035	chr14	+	32335426	32336465	32336478	32337441	Ogdhl	12	nd
MmuEX0033622	chr19	+	32641412	32646328	32646344	32651895	Papss2	15	
MmuEX0001025	chr15	+	8264442	8268400	8268405	8269618	2410089E03Rik	4	nd
MmuEX1010339	chr13	-	98752035	98754784	98751932	98752022	Fcho2	12	nd
MmuEX1016434	chr4	+	154018486	154019019	154019033	154019393	Lrrc47	13	
MmuEX0027974	chr10	-	127296741	127296872	127296634	127296716	Mars	24	hi
MmuEX1023316	chr10	-	57529076	57532356	57527827	57529069	Serinc1	6	nd
MmuEX0030388	chr1	-	66934543	66944791	66930330	66934517	Myl1	25	
MmuEX1014602	chr9	+	66483723	66483797	66483812	66483877	Herc1	14	nd
MmuEX0035279	chr5	+	111346575	111347119	111347128	111347780	Pitpnb	8	
MmuEX0048507	chr11	-	99003070	99003506	99001442	99003054	Top2a	15	
MmuEX1021140	chr1	+	86529787	86529790	86529805	86529940	Ptma	14	
MmuEX1024518	chr14	-	70183918	70184006	70183773	70183900	Sorbs3	17	nd
MmuEX0027360	chr1	+	16700924	16703899	16703922	16706172	Ly96	22	
MmuEX6063620	chr16	+	96386627	96391019	96391045	96396368	Igsf5	25	
MmuEX1016019	chr5	+	117685556	117687904	117687911	117689559	Ksr2	6	ot
MmuEX1011840	chr10	-	24554208	24580107	24549588	24554193	Gm15270	14	
MmuEX1004982	chr17	+	34444059	34446018	34446034	34446956	BC051142	15	ot
MmuEX0027467	chr4	-	123368833	123369804	123368038	123368820	Macf1	12	
MmuEX1019393	chr10	+	79793741	79799054	79799059	79806639	Palm	4	nd
MmuEX1015582	chr14	+	21631464	21634124	21634148	21634475	Kat6b	23	
MmuEX6104461	chr2	+	122173388	122174239	122174263	122174349	Trim69	23	
MmuEX1018253	chr2	-	155434484	155437859	155434089	155434463	Ncoa6	20	
MmuEX1018376	chr2	+	38569736	38570215	38570219	38577238	Nek6	3	nd
MmuEX1019975	chr10	-	70560661	70565173	70559782	70560656	Phyhipl	4	nd
MmuEX6101562	chr2	+	61650289	61651426	61651530	61653378	Tank	15	nd
MmuEX1007300	chrX	+	141618269	141618644	141618655	141626830	Col4a5	10	nd
MmuEX1025178	chr15	-	79729889	79730089	79729559	79729885	Sun2	3	nd
MmuEX1023960	chr4	+	62360844	62361686	62361696	62385491	Slc31a1	9	nd
MmuEX1019139	chr2	-	73144111	73156737	73142389	73144107	Ola1	3	nd
MmuEX1007846	chr15	-	74841273	74841367	74840966	74841269	Cyp11b1	3	
MmuEX6043653	chrX	-	12756456	12761466	12754213	12756428	Med14	27	nd
MmuEX0023592	chrX	-	73782310	73782674	73782104	73782297	Idh3g	12	hi
MmuEX0019666	chr5	+	150457916	150461388	150461398	150466243	Fry	9	hi
MmuEX6044511	chrX	+	59999552	60004407	60004433	60028893	F9	25	
MmuEX1013819	chr18	-	31820071	31820130	31819922	31820062	Gm6665	8	
MmuEX1028836	chr19	-	10920045	10920403	10919502	10920029	Zp1	15	
MmuEX7008278	chr17	+	71105600	71120793	71120817	71126075	Myom1	23	
MmuEX0030091	chr11	-	4484698	4485362	4482940	4484670	Mtmr3	27	nd
MmuEX0028130	chr18	+	82554669	82554735	82554751	82561777	Mbp	15	
MmuEX1021961	chr3	-	153909863	153910260	153909599	153909858	Rabggtb	4	nd
MmuEX0046868	chr17	-	28335497	28336510	28335037	28335484	Tead3	12	nd
MmuEX6020724	chr5	-	122748200	122750014	122748043	122748177	Camkk2	22	nd
MmuEX1018984	chr8	-	123933760	123936086	123933515	123933753	Nup133	6	nd
MmuEX1022082	chr2	+	29710309	29711011	29711015	29719592	Rapgef1	3	nd
MmuEX1018903	chr3	-	109864295	109864393	109841576	109864290	Ntng1	4	
MmuEX1001269	chr9	+	57178379	57179945	57179971	57181293	1700041C23Rik	25	
MmuEX0046538	chr11	+	121578776	121580147	121580171	121582752	Tbcd	23	nd
MmuEX6021616	chr5	+	135857216	135867126	135867147	135868172	Srrm3	20	
MmuEX6034531	chr8	+	13441281	13442231	13442241	13451035	Tmem255b	9	nd
MmuEX0037891	chr4	-	76139303	76140513	76136922	76139293	Ptprd	9	hi
MmuEX1019660	chr3	+	122835641	122837983	122837988	122839541	Pde5a	4	nd
MmuEX1015809	chr9	-	61918276	61918887	61915998	61918261	Kif23	14	nd
MmuEX6072447	chr3	+	94878269	94878521	94878547	94878660	Pogz	25	nd
MmuEX1003697	chr2	-	93983111	93984699	93981615	93983105	Alkbh3	5	nd
MmuEX0037304	chr16	+	62885559	62888980	62889006	62898875	Pros1	25	nd
MmuEX0043602	chr12	-	81209472	81214065	81205017	81209453	Slc8a3	18	ot
MmuEX1026443	chr7	-	4514227	4514336	4513838	4514212	Tnnt1	14	nd
MmuEX1015178	chr9	+	108564779	108564925	108564953	108565101	Impdh2	27	
MmuEX0024814	chr7	+	44710342	44710510	44710532	44715327	Izumo2	21	
MmuEX6009922	chr7	+	30764693	30766577	30766605	30777607	Dmkn	27	
MmuEX1023807	chr7	+	143473838	143475400	143475416	143476069	Slc22a18	15	
MmuEX6052144	chr10	+	128281709	128282101	128282120	128282711	Stat2	18	nd
MmuEX0008732	chr2	-	24642859	24648478	24639211	24642852	Cacna1b	6	lo
MmuEX1006253	chr8	+	13773405	13773479	13773483	13775707	Cdc16	3	nd
MmuEX1021062	chr4	+	126687100	126696661	126696677	126706057	Psmb2	15	nd
MmuEX1005563	chr5	+	16333826	16334841	16334845	16340706	Cacna2d1	3	nd
MmuEX0008535	chr7	+	100455492	100456968	100456972	100459776	C2cd3	3	nd
MmuEX0013762	chr10	+	81190647	81191041	81191069	81191758	Dapk3	27	nd
MmuEX6048681	chr10	-	61896373	61897138	61895361	61896345	Col13a1	27	
MmuEX0052084	chr17	-	25845595	25845770	25845460	25845578	Wdr90	16	
MmuEX0008619	chr19	-	8336730	8344507	8335822	8336722	Slc22a30	7	
MmuEX1007232	chr9	-	79631806	79633346	79631653	79631800	Col12a1	5	nd
MmuEX0004211	chr6	+	34793990	34794285	34794301	34798193	Agbl3	15	
MmuEX1001472	chr10	-	62132205	62134488	62110013	62132200	2010107G23Rik	4	
MmuEX1014699	chr9	+	56418932	56447000	56447004	56467357	Hmg20a	3	nd
MmuEX1029231	chr10	+	106913757	106913808	106913817	106915704	Ppfia2	8	nd
MmuEX6051408	chr10	+	116362428	116362523	116362542	116362643	Ptprb	18	nd
MmuEX0024084	chr6	+	71863271	71866725	71866741	71868579	Immt	15	hi
MmuEX1019578	chr10	-	76436098	76436425	76434041	76436091	Pcnt	6	nd
MmuEX1015914	chr5	-	103869460	103870528	103868014	103869447	Klhl8	12	nd
MmuEX0012202	chr6	+	4505910	4508334	4508346	4508939	Col1a2	11	nd
MmuEX1015959	chr5	+	124447371	124448311	124448315	124450660	Kmt5a	3	nd
MmuEX0003675	chr2	+	48873474	48886673	48886698	48890297	Acvr2a	24	
MmuEX0010675	chr9	+	35473566	35475729	35475744	35476876	Cdon	14	
MmuEX0039161	chr1	+	91156839	91156917	91156941	91157063	Rbm44	23	
MmuEX0041817	chr9	+	110532753	110545299	110545316	110547208	Setd2	16	nd
MmuEX0015826	chr12	+	3751908	3754095	3754117	3772586	Dtnb	21	hi
MmuEX0038815	chr11	+	54642952	54647097	54647110	54649181	Rapgef6	12	ot
MmuEX1025972	chr17	+	3513450	3514441	3514445	3514670	Tiam2	3	nd
MmuEX1006009	chr3	-	33830517	33830656	33830158	33830490	Ccdc39	26	
MmuEX0040939	chr15	-	53657526	53658349	53462217	53657516	Samd12	9	hi
MmuEX6036412	chr8	-	71713326	71713414	71712952	71713300	Fcho1	25	nd
MmuEX0016717	chr9	-	53923966	53924399	53921374	53923941	Elmod1	24	
MmuEX0034552	chr11	-	69003212	69003695	69002616	69003191	Pfas	20	nd
MmuEX1016187	chr11	-	78971550	78972987	78971428	78971540	Lgals9	9	
MmuEX0044625	chr1	+	75418006	75418430	75418458	75418970	Speg	27	nd
MmuEX1010747	chr7	+	127967578	127969561	127969587	127969716	Fus	25	
MmuEX1007637	chr11	-	120968379	120969022	120968135	120968363	Csnk1d	15	
MmuEX0015626	chr16	+	48289379	48289806	48289828	48291013	Dppa4	21	
MmuEX1010187	chr8	+	44935622	44936302	44936311	44936978	Fat1	8	nd
MmuEX1029027	chr2	+	39005410	39012085	39012097	39013116	Arpc5l	11	nd
MmuEX0030954	chr7	+	49572454	49575246	49575256	49575647	Nav2	9	ot
MmuEX0033948	chr11	-	97699795	97700259	97699649	97699778	Pcgf2	16	hi
MmuEX1010070	chr15	-	63949158	63950005	63944429	63949154	Fam49b	3	nd
MmuEX0017594	chr6	-	84624314	84625124	84621512	84624301	Exoc6b	12	
MmuEX1024450	chr12	+	35092914	35097371	35097385	35098229	Snx13	13	nd
MmuEX6077662	chr17	-	36882665	36883148	36882463	36882641	Trim40	23	
MmuEX1010545	chr1	+	134037583	134039084	134039088	134040215	Fmod	3	nd
MmuEX1003858	chr2	+	11779824	11779884	11779898	11781476	Ankrd16	13	
MmuEX1027463	chr10	-	123126494	123127677	123125928	123126490	Usp15	3	nd
MmuEX1028980	chr7	-	3620984	3621062	3620973	3620973	Tfpt	10	
MmuEX1025194	chr4	-	59438099	59438205	59428065	59438074	Susd1	24	
MmuEX6069410	chr9	+	110834740	110836065	110836093	110838420	Prss45	27	
MmuEX0048571	chr3	-	8943578	8944610	8936481	8943550	Tpd52	27	ot
MmuEX1024629	chr3	+	37458401	37460164	37460187	37464531	Spata5	22	nd
