event,chrom,strand,upIntStart,upIntEnd,dnIntStart,dnIntEnd,geneName,lengthDiff,label,group,wt_neural_high_pred,ME,geneID,mes3,mes5,conservation,neural_high_pred
HsaEX0072774,chr10,+,97751462,97752856,97752877,97753037,ZFYVE27,21,hi,known_mic,0.99979144,,,,,,
HsaEX0041047,chr17,-,29116455,29118044,29115840,29116443,MYO18A,12,hi,known_mic,0.9999691,,,,,,
HsaEX0060805,chr6,-,85538864,85541984,85536924,85538837,SNX14,27,hi,known_mic,0.99960726,,,,,,
HsaEX0037159,chr1,+,39297745,39299251,39299257,39300209,MACF1,6,hi,known_mic,0.14067298,,,,,,
HsaEX0006174,chr2,+,9335179,9336040,9336044,9344531,ASAP2,4,hi,known_mic,0.99711657,,,,,,
HsaEX0026120,chr1,+,93534908,93541041,93541056,93544106,FNBP1L,15,hi,known_mic,0.98153496,,,,,,
HsaEX0004932,chr3,+,184180251,184180644,184180650,184180848,AP2M1,6,hi,known_mic,0.9682667,,,,,,
HsaEX0006689,chr2,-,38296700,38298143,38296113,38296685,ATL2,15,hi,known_mic,0.99928385,,,,,,
HsaEX0043870,chr14,+,78297860,78300679,78300691,78645119,NRXN3,12,hi,known_mic,0.9982679,,,,,,
HsaEX0002785,chr7,+,31078098,31080612,31080633,31081712,ADCYAP1R1,21,hi,known_mic,0.9361145,,,,,,
HsaEX1036742,chr1,+,66643719,66667529,66667541,66670994,SGIP1,12,hi,known_mic,0.9680719,,,,,,
HsaEX0026028,chr17,+,45234200,45234831,45234849,45236135,FMNL1,18,hi,known_mic,0.99657756,,,,,,
HsaEX0009119,chr12,-,26924074,26924354,26922700,26924050,INTS13,24,hi,known_mic,0.9968348,,,,,,
HsaEX0027291,chr11,-,75439354,75439878,75437048,75439339,GDPD5,15,hi,known_mic,0.9998635,,,,,,
HsaEX0054211,chr11,+,124876932,124877160,124877184,124877266,ROBO3,24,hi,known_mic,0.9988949,,,,,,
HsaEX1004746,chrX,+,70280818,70281100,70281108,70281675,ARR3,8,hi,known_mic,0.9981187,,,,,,
HsaEX1046522,chr2,+,203380384,203382188,203382206,203391045,ABI2,18,hi,known_mic,0.99944896,,,,,,
HsaEX0026489,chr9,+,105472005,105479353,105479376,105484380,FSD1L,23,hi,known_mic,0.9958895,,,,,,
HsaEX0038710,chr1,-,156476514,156477011,156475237,156476493,MEF2D,21,hi,known_mic,0.49711967,,,,,,
HsaEX0003157,chr1,+,1051815,1051992,1052016,1053460,AGRN,24,hi,known_mic,0.9992736,,,,,,
HsaEX0043901,chr20,-,1455716,1458199,1455132,1455713,NSFL1C,3,hi,known_mic,0.99944586,,,,,,
HsaEX6067489,chr12,+,57695843,57695961,57695976,57696274,OS9,15,hi,known_mic,0.9984498,,,,,,
HsaEX1042991,chr8,+,35705961,35721454,35721469,35722209,UNC5D,15,hi,known_mic,0.9994809,,,,,,
HsaEX7010863,chr22,-,38222662,38224784,38221710,38222641,TMEM184B,21,hi,known_mic,0.9998166,,,,,,
HsaEX0012022,chr3,-,50373085,50374736,50370380,50373064,CACNA2D2,21,hi,known_mic,0.9810854,,,,,,
HsaEX0027631,chr1,-,53526353,53529790,53524887,53526346,GLIS1,7,hi,known_mic,0.99524903,,,,,,
HsaEX0042383,chr16,+,83978552,83980838,83980864,83981029,NECAB2,26,hi,known_mic,0.9996501,,,,,,
HsaEX1032281,chr17,-,58001512,58003650,57994948,58001488,RP11-159D12.5,24,hi,known_mic,0.9987816,,,,,,
HsaEX0050856,chr8,-,140762388,140764233,140761262,140762367,PTK2,21,hi,known_mic,0.9995042,,,,,,
HsaEX0019171,chr15,-,65665225,65665344,65664722,65665198,DENND4A,27,hi,known_mic,0.9988127,,,,,,
HsaEX0050092,chr1,+,84175056,84175798,84175807,84179176,PRKACB,9,hi,known_mic,0.040422227,,,,,,
HsaEX0051218,chr19,-,5262972,5265007,5258127,5262963,PTPRS,9,hi,known_mic,0.9988041,,,,,,
HsaEX0012302,chr17,-,4969520,4969629,4969337,4969499,CAMTA2,21,hi,known_mic,0.9999311,,,,,,
HsaEX1042400,chr14,-,90729458,90730074,90695578,90729434,TTC7B,24,hi,known_mic,0.99904805,,,,,,
HsaEX0012134,chr7,-,122414076,122416060,122407696,122414067,CADPS2,9,hi,known_mic,0.66719735,,,,,,
HsaEX0046423,chr5,-,177491420,177491806,177491146,177491403,PDLIM7,17,hi,known_mic,0.99987555,,,,,,
HsaEX0044649,chr11,-,78720390,78722667,78712714,78720369,TENM4,21,hi,known_mic,0.9994174,,,,,,
HsaEX0005452,chr17,+,38498510,38498931,38498954,38500596,ARHGAP23,23,hi,known_mic,0.99947494,,,,,,
HsaEX0051079,chr20,+,2965202,2975214,2975241,2986764,PTPRA,27,hi,known_mic,0.99986887,,,,,,
HsaEX0022986,chr3,-,56297105,56434350,56296435,56297081,ERC2,24,hi,known_mic,0.16604584,,,,,,
HsaEX0006131,chr22,-,19976723,19977414,19975757,19976705,ARVCF,18,hi,known_mic,0.99942374,,,,,,
HsaEX1040243,chr14,-,91820751,91836370,91813825,91820741,TC2N,10,hi,known_mic,0.99868673,,,,,,
HsaEX0004117,chr8,-,41700454,41701549,41699548,41700430,ANK1,24,hi,known_mic,0.99960595,,,,,,
HsaEX0066247,chr5,-,151055211,151056765,151052259,151055208,TNIP1,3,hi,known_mic,0.0039056246,,,,,,
