ME	event	geneName	geneID	chrom	strand	upIntStart	upIntEnd	dnIntStart	dnIntEnd	lengthDiff	mes3	mes5	conservation	neural_high_pred
chrX_-_85923678_85923681	putative_microexon_000769555	CHM	ENSG00000188419	chrX	-	85923682	85956152	85911339	85923678	3	0.9188791359207289	9.664477879726954	0.08759770168716773	0.01095629
chr4_-_40953782_40953785	putative_microexon_000610995	APBB2	ENSG00000163697	chr4	-	40953786	41013582	40945071	40953782	3	5.482066634630379	5.489562243519604	0.11822988568194981	0.001986178
chr6_+_83119622_83119644	putative_microexon_000013391	DOP1A	ENSG00000083097	chr6	+	83118988	83119622	83119645	83119774	22	1.6922939699554418	10.47145373488726	0.8150157887905248	0.01137338
chr4_+_20527848_20527866	putative_microexon_000013805	SLIT2	ENSG00000145147	chr4	+	20524178	20527848	20527867	20528948	18	8.377768184108403	8.564414181738698	0.809327957470731	0.07959667
chr1_-_169925786_169925792	putative_microexon_000014632	KIFAP3	ENSG00000075945	chr1	-	169925793	169954010	169921782	169925786	6	0.0027198643954694478	9.651496705972724	0.797752875192412	0.18528795
chr17_-_3821110_3821114	putative_microexon_000014725	NCBP3	ENSG00000074356	chr17	-	3821115	3821248	3818573	3821110	4	6.516437136091285	9.72159298629212	0.7965459789245807	0.043597072
chr9_-_120471549_120471552	putative_microexon_001547257	CDK5RAP2	ENSG00000136861	chr9	-	120471553	120471747	120470218	120471549	3	3.9647628019746843	6.226226559920013	0.014724138034266773	0.0031777266
chr11_-_30564543_30564549	putative_microexon_001350059	MPPED2	ENSG00000066382	chr11	-	30564550	30580245	30536176	30564543	6	1.9647689650937454	6.51425660062021	0.025522988729831903	0.0020362476
chr22_-_19939485_19939488	putative_microexon_000358411	TXNRD2	ENSG00000184470	chr22	-	19939489	19941700	19919005	19939485	3	0.3326832836261123	8.763777214457557	0.19527011540258069	0.00014956648
chrX_-_109686467_109686470	putative_microexon_000359147	ACSL4	ENSG00000068366	chrX	-	109686471	109733138	109683373	109686467	3	0.19377656040612123	5.871567630683042	0.19495402344759424	0.0016376419
chr5_-_88879636_88879639	putative_microexon_000205176	MEF2C	ENSG00000081189	chr5	-	88879640	88887501	88823928	88879636	3	1.3136092749600887	8.347518499340195	0.2833965521181355	0.0003258823
chr1_+_35818269_35818274	putative_microexon_000207651	AGO4	ENSG00000134698	chr1	+	35817048	35818269	35818275	35822861	5	1.158620659735007	8.4085596643448	0.28141953977060385	0.00011356537
chr3_-_48715185_48715188	putative_microexon_000180600	IP6K2	ENSG00000068745	chr3	-	48715189	48717156	48695419	48715185	3	3.375718982346253	7.308951575758379	0.3045632181857745	0.0002702987
chr4_+_25164954_25164958	putative_microexon_000188069	PI4K2B	ENSG00000038210	chr4	+	25160754	25164954	25164959	25252320	4	4.543685310748098	9.368761736621076	0.29779885067261924	0.00012684923
chr14_-_36723703_36723724	putative_microexon_000210800	SLC25A21	ENSG00000183032	chr14	-	36723725	36725569	36711483	36723703	21	5.331937300977524	7.607747937645244	0.27894179702541794	0.20553741
chr3_-_16511156_16511159	putative_microexon_000871665	RFTN1	ENSG00000131378	chr3	-	16511160	16513822	16493878	16511156	3	1.0211392135983244	5.397415546429756	0.07193678090330106	0.003207038
chr19_-_11432722_11432725	putative_microexon_000872768	CCDC151	ENSG00000198003	chr19	-	11432726	11435689	11431021	11432722	3	0.17107272256808137	5.406612525625726	0.07177586226935509	0.0003262121
